date,open,high,low,close,volume
2024-01-02,1715,1735,1710,1735,24718300
2024-01-03,1735,1735,1700,1700,37300200
2024-01-04,1700,1725,1680,1685,53507200
2024-01-05,1690,1695,1675,1675,27724900
2024-01-08,1680,1710,1650,1650,38882100
2024-01-09,1650,1670,1630,1645,35557300
2024-01-10,1650,1670,1635,1655,23255700
2024-01-11,1660,1670,1635,1635,28452300
2024-01-12,1635,1645,1620,1625,37633100
2024-01-15,1630,1640,1605,1605,41088800
2024-01-16,1610,1625,1600,1605,28690900
2024-01-17,1620,1620,1600,1605,22340500
2024-01-18,1605,1635,1600,1620,42791800
2024-01-19,1670,1705,1640,1645,138276192
2024-01-22,1645,1665,1640,1645,40064300
2024-01-23,1645,1650,1605,1610,45771000
2024-01-24,1610,1620,1525,1535,100907600
2024-01-25,1535,1590,1535,1555,53174200
2024-01-26,1560,1580,1555,1575,36596700
2024-01-29,1575,1595,1550,1565,25068100
2024-01-30,1565,1570,1560,1565,21896800
2024-01-31,1565,1585,1550,1550,23365800
2024-02-01,1550,1570,1535,1535,21244100
2024-02-02,1535,1550,1525,1525,46157600
2024-02-05,1525,1540,1440,1440,109746600
2024-02-06,1445,1470,1410,1425,59462600
2024-02-07,1430,1440,1405,1410,52163800
2024-02-12,1415,1470,1415,1465,41951600
2024-02-13,1515,1580,1485,1545,140446400
2024-02-15,1570,1580,1535,1540,62446100
2024-02-16,1545,1560,1530,1530,27133500
2024-02-19,1545,1545,1505,1515,25251500
2024-02-20,1515,1525,1505,1505,29689600
2024-02-21,1505,1515,1455,1470,49750800
2024-02-22,1480,1520,1480,1500,46945600
2024-02-23,1525,1550,1505,1550,58962900
2024-02-26,1555,1565,1510,1515,28487100
2024-02-27,1515,1515,1470,1480,45781700
2024-02-28,1490,1500,1470,1490,23374700
2024-02-29,1495,1505,1460,1460,48510500
2024-03-01,1465,1490,1465,1480,27751500
2024-03-04,1495,1500,1460,1460,31713700
2024-03-05,1470,1485,1460,1460,37549800
2024-03-06,1465,1540,1465,1525,81197000
2024-03-07,1535,1580,1535,1575,84824096
2024-03-08,1595,1600,1550,1565,52659100
2024-03-13,1575,1635,1575,1620,116310704
2024-03-14,1630,1645,1610,1645,69006400
2024-03-15,1645,1645,1610,1615,51840100
2024-03-18,1615,1675,1605,1655,66602000
2024-03-19,1665,1690,1660,1660,49266200
2024-03-20,1660,1670,1645,1660,38425600
