date,open,high,low,close,volume
2023-01-02,162,163,159,160,71224200
2023-01-03,161,171,159,167,484680608
2023-01-04,169,169,162,162,228414400
2023-01-05,162,165,151,152,535938816
2023-01-06,152,154,147,152,75497200
2023-01-09,153,161,151,153,435007392
2023-01-10,154,159,153,158,253711296
2023-01-11,158,162,152,158,261284400
2023-01-12,158,160,155,155,169429696
2023-01-13,156,159,156,157,126911400
2023-01-16,154,188,154,187,1265654272
2023-01-17,188,195,180,180,1660717184
2023-01-18,180,184,174,182,707560000
2023-01-19,188,188,180,182,555180032
2023-01-20,184,188,182,186,448293888
2023-01-24,186,202,186,199,1649114752
2023-01-25,200,202,195,197,498902688
2023-01-26,198,204,193,193,898983424
2023-01-27,194,194,182,184,830899968
2023-01-30,186,190,181,181,311130816
2023-01-31,179,185,178,184,342610688
2023-02-01,186,193,185,191,566073600
2023-02-02,194,197,189,192,458745504
2023-02-03,191,191,181,181,371858304
2023-02-06,178,184,174,177,402502912
2023-02-07,177,182,177,180,213014000
2023-02-08,180,183,179,180,222326800
2023-02-09,180,182,176,177,174719600
2023-02-10,176,176,165,169,662446976
2023-02-13,165,173,165,168,206879392
2023-02-14,170,176,168,176,306107904
2023-02-15,179,179,171,173,211455696
2023-02-16,174,180,170,175,281837088
2023-02-17,176,177,172,172,206281408
2023-02-20,172,174,165,168,245896608
2023-02-21,169,171,167,167,120035000
2023-02-22,168,169,164,164,151139904
2023-02-23,165,167,161,162,154216304
2023-02-24,162,165,161,164,106615696
2023-02-27,164,165,160,161,91282496
2023-02-28,162,163,160,163,98267504
2023-03-01,164,167,163,167,121208400
2023-03-02,168,170,166,168,132745600
2023-03-03,168,170,166,166,68216400
2023-03-06,167,169,162,164,161119504
2023-03-07,165,166,156,156,153109904
2023-03-08,154,156,151,153,167942592
2023-03-09,153,155,152,153,119858600
2023-03-10,153,155,152,153,102306304
2023-03-13,155,159,154,158,187781792
2023-03-14,160,165,153,154,270128192
2023-03-15,155,157,154,157,75758000
2023-03-16,157,160,147,147,299919008
2023-03-17,148,153,147,153,160478400
2023-03-20,155,163,154,161,349653088
2023-03-21,160,162,157,158,131713904
2023-03-24,158,166,158,165,272110112
2023-03-27,165,170,164,166,140812400
2023-03-28,167,170,164,168,124758096
2023-03-29,167,172,166,170,209060800
2023-03-30,170,171,165,169,149358704
2023-03-31,169,173,168,170,165956608
2023-04-03,169,170,164,170,187112400
2023-04-04,170,172,167,168,77531104
2023-04-05,171,176,171,171,314740512
2023-04-06,172,173,168,168,90949504
2023-04-10,168,169,161,161,214841504
2023-04-11,164,167,160,165,130866800
2023-04-12,166,168,162,162,92877904
2023-04-13,165,165,161,162,89708704
2023-04-14,166,168,161,162,180444192
2023-04-17,164,165,162,163,104928704
2023-04-18,163,164,157,157,145622400
2023-04-26,157,160,155,158,85472400
2023-04-27,161,161,156,156,48269700
2023-04-28,156,162,155,162,121682096
2023-05-02,162,165,157,158,71943104
2023-05-03,161,161,157,158,69902096
2023-05-04,160,163,159,160,110556896
2023-05-05,160,162,151,153,208901696
2023-05-08,154,156,152,153,74935400
2023-05-09,154,155,151,151,65716000
2023-05-10,154,154,151,152,58346500
2023-05-11,154,154,148,149,108389200
2023-05-12,151,152,148,148,68164896
2023-05-15,150,152,145,149,127918200
2023-05-16,150,151,145,145,140326208
2023-05-17,145,145,135,136,375608800
2023-05-19,138,138,127,128,284393088
2023-05-22,128,134,126,131,153956496
2023-05-23,133,133,128,128,112756400
2023-05-24,129,130,127,127,77759696
2023-05-25,127,128,121,121,215842592
2023-05-26,120,122,114,119,348916800
2023-05-29,120,125,117,123,323097696
2023-05-30,125,125,119,121,156470496
2023-05-31,123,123,115,116,229905200
2023-06-05,116,132,116,130,461647104
2023-06-06,132,146,129,145,563533376
2023-06-07,150,150,134,137,381306208
2023-06-08,138,139,134,137,134208896
2023-06-09,138,142,136,136,157544704
2023-06-12,138,138,134,136,71960704
2023-06-13,136,137,127,128,284538912
2023-06-14,130,136,128,131,260152800
2023-06-15,131,136,128,133,246493600
2023-06-16,133,136,132,132,364992992
2023-06-19,134,134,130,131,95037296
2023-06-20,131,133,128,128,78326800
2023-06-21,129,140,128,139,350447904
2023-06-22,141,143,135,135,219065104
2023-06-23,135,136,131,132,62822700
2023-06-26,133,137,133,137,161810800
2023-06-27,138,138,135,136,81868096
2023-07-03,138,139,133,134,94886000
2023-07-04,136,137,134,135,114292704
2023-07-05,135,141,135,139,159663696
2023-07-06,140,147,138,147,339790592
2023-07-07,147,147,143,144,134097000
2023-07-10,146,148,144,147,106539200
2023-07-11,147,159,146,158,414674816
2023-07-12,159,162,157,160,301639104
2023-07-13,162,172,160,171,579881280
2023-07-14,171,176,169,171,440752288
2023-07-17,172,173,166,168,208743504
2023-07-18,174,175,168,174,252634096
2023-07-20,175,182,175,182,584168896
2023-07-21,185,185,178,183,344326688
2023-07-24,183,186,181,184,351830016
2023-07-25,184,186,171,171,655766080
2023-07-26,172,183,167,181,671481920
2023-07-27,183,186,172,175,728780032
2023-07-28,175,179,172,175,239015504
2023-07-31,177,177,171,171,287290112
2023-08-01,172,177,170,171,394931200
2023-08-02,174,175,168,175,277147296
2023-08-03,175,178,172,174,324546816
2023-08-04,174,176,172,172,129218800
2023-08-07,173,177,171,176,219230208
2023-08-08,178,178,174,175,194574000
2023-08-09,175,176,169,169,244761408
2023-08-10,170,175,168,174,188929408
2023-08-11,173,177,171,176,171599904
2023-08-14,176,183,175,180,506254784
2023-08-15,182,183,180,181,228639296
2023-08-16,181,182,176,178,282404416
2023-08-18,178,179,175,177,202882304
2023-08-21,179,204,179,202,2253130752
2023-08-22,202,202,193,195,963083584
2023-08-23,196,210,195,208,918487872
2023-08-24,208,214,200,202,881955392
2023-08-25,202,204,198,200,461096896
2023-08-28,200,204,199,200,395664096
2023-08-29,202,208,200,206,659357888
2023-08-30,208,210,200,204,382145216
2023-08-31,204,204,188,195,1551427200
2023-09-01,196,202,194,200,418433696
2023-09-04,202,210,200,206,573818624
2023-09-05,210,216,206,216,853975872
2023-09-06,222,222,212,216,528229312
2023-09-07,216,216,208,210,400228704
2023-09-08,210,220,208,216,531647712
2023-09-11,224,224,210,214,382408704
2023-09-12,220,220,206,206,587545024
2023-09-13,208,210,199,202,686835584
2023-09-14,202,210,202,208,537929792
2023-09-15,208,220,200,214,5488745984
2023-09-18,214,216,208,208,184086096
2023-09-19,210,214,208,212,191527200
2023-09-20,212,214,206,210,144669792
2023-09-21,212,212,208,208,58007900
2023-09-22,210,224,208,218,583176896
2023-09-25,218,220,214,218,171064608
2023-09-26,218,226,206,210,595117696
2023-09-27,210,214,208,212,132142096
2023-09-29,212,216,210,212,99804200
2023-10-02,210,214,208,210,94442496
2023-10-03,210,210,206,208,213052400
2023-10-04,208,208,189,190,560129984
2023-10-05,190,194,177,177,448680896
2023-10-06,178,183,173,179,263743600
2023-10-09,182,191,182,189,411379808
2023-10-10,193,193,186,188,259688800
2023-10-11,189,191,185,191,129376600
2023-10-12,191,192,188,189,80592096
2023-10-13,189,194,187,192,133889000
2023-10-16,195,204,195,197,432244896
2023-10-17,198,198,193,194,188993600
2023-10-18,196,199,195,199,260730000
2023-10-19,200,200,191,191,144684496
2023-10-20,197,198,192,198,181212400
2023-10-23,200,200,189,197,197523904
2023-10-24,197,197,193,194,75336800
2023-10-25,195,195,192,193,36671200
2023-10-26,193,195,187,192,121372096
2023-10-27,192,193,189,190,85661296
2023-10-30,180,198,180,194,266896400
2023-10-31,195,197,188,194,182998592
2023-11-01,194,194,188,189,159853792
2023-11-02,189,193,189,190,107897000
2023-11-03,191,193,188,190,102630896
2023-11-06,189,193,187,191,89237696
2023-11-07,191,191,180,183,202330000
2023-11-08,184,184,180,182,217380304
2023-11-09,182,184,174,174,191746304
2023-11-10,174,177,172,172,103292704
2023-11-13,173,180,170,177,110977696
2023-11-14,178,182,175,179,122448600
2023-11-15,181,183,179,180,74816800
2023-11-16,180,181,175,178,86915800
2023-11-17,179,182,178,180,75305000
2023-11-20,180,181,176,176,53203300
2023-11-21,177,178,170,174,131438600
2023-11-22,175,191,174,190,501391712
2023-11-23,190,195,186,188,296187104
2023-11-24,189,190,186,187,80696800
2023-11-27,187,200,187,200,636045696
2023-11-28,200,208,197,204,427402304
2023-11-29,208,212,206,206,370648800
2023-11-30,208,208,198,202,259603104
2023-12-01,202,204,198,199,117658896
2023-12-04,206,212,204,206,288191488
2023-12-05,204,206,198,200,233649104
2023-12-06,200,206,198,198,247344096
2023-12-07,200,200,191,194,277406912
2023-12-08,194,196,191,193,67740896
2023-12-11,193,194,180,180,211058896
2023-12-12,182,182,174,177,136345200
2023-12-13,178,179,172,172,130903800
2023-12-14,172,182,172,178,302825504
2023-12-15,180,181,177,177,876995328
2023-12-18,177,178,171,173,142863600
2023-12-19,174,176,170,170,156716992
2023-12-20,172,177,171,174,205078096
2023-12-21,174,174,162,172,423180800
2023-12-22,172,175,167,168,98223000
2023-12-27,169,173,169,171,113902896
2023-12-28,173,177,171,173,153894400
2023-12-29,175,175,170,170,102986800
2024-01-02,171,177,170,175,128638200
2024-01-03,175,180,175,177,195734496
2024-01-04,177,178,175,177,83177600
2024-01-05,177,180,176,176,84674704
2024-01-08,176,177,172,172,83037800
2024-01-09,173,174,171,173,40622300
2024-01-10,174,175,173,174,62973900
2024-01-11,175,175,172,172,38741500
2024-01-12,172,174,170,173,71191904
2024-01-15,173,175,172,173,62025700
2024-01-16,173,174,171,171,61081500
2024-01-17,172,172,166,167,171310704
2024-01-18,167,171,166,168,116715800
2024-01-19,170,170,166,166,81169800
2024-01-22,168,168,163,164,59892000
2024-01-23,165,166,161,161,85066000
2024-01-24,161,162,153,154,262372800
2024-01-25,155,158,151,154,138552992
2024-01-26,155,155,145,146,187981408
2024-01-29,147,151,146,148,103828400
2024-01-30,148,158,148,154,208505792
2024-01-31,154,161,154,155,144390592
2024-02-01,155,157,152,152,61136700
2024-02-02,159,159,146,146,221679200
2024-02-05,146,148,139,140,205058208
2024-02-06,140,146,140,144,190442304
2024-02-07,144,146,143,144,105401200
2024-02-12,144,150,144,148,174656496
2024-02-13,149,151,147,149,119244704
2024-02-15,151,152,147,147,162260896
2024-02-16,148,152,147,150,105056304
2024-02-19,150,153,148,148,162421296
2024-02-20,149,150,145,148,171829600
2024-02-21,148,149,142,144,73821800
2024-02-22,145,148,142,145,106897296
2024-02-23,145,147,141,144,156141600
2024-02-26,144,146,142,145,77387296
2024-02-27,147,151,142,143,48273400
2024-02-28,144,144,140,143,78354704
2024-02-29,143,145,138,144,148800608
2024-03-01,145,145,139,140,96247000
