date,open,high,low,close,volume
2024-01-02,1690,1690,1655,1670,2587700
2024-01-03,1695,1695,1630,1635,5767000
2024-01-04,1640,1645,1600,1630,7971900
2024-01-05,1630,1645,1610,1625,6058600
2024-01-08,1630,1630,1600,1600,9675700
2024-01-09,1600,1615,1590,1610,5536000
2024-01-10,1635,1650,1610,1645,4846000
2024-01-11,1645,1695,1640,1690,9556500
2024-01-12,1700,1770,1690,1755,20481600
2024-01-15,1760,1775,1705,1715,10014300
2024-01-16,1715,1730,1690,1715,5074800
2024-01-17,1740,1740,1670,1675,7475700
2024-01-18,1680,1690,1650,1660,4589000
2024-01-19,1660,1660,1620,1620,9300100
2024-01-22,1625,1645,1620,1635,3035100
2024-01-23,1645,1655,1605,1610,7012400
2024-01-24,1635,1635,1600,1615,4262700
2024-01-25,1620,1630,1610,1625,2930900
2024-01-26,1630,1630,1610,1610,2519600
2024-01-29,1610,1625,1610,1610,2290300
2024-01-30,1615,1615,1580,1585,8018700
2024-01-31,1610,1615,1585,1590,3654200
2024-02-01,1590,1615,1585,1590,5094600
2024-02-02,1550,1600,1550,1590,3183500
2024-02-05,1615,1615,1560,1565,8037600
2024-02-06,1570,1615,1560,1615,5074700
2024-02-07,1635,1665,1600,1650,9482500
2024-02-12,1650,1650,1485,1485,53939100
2024-02-13,1475,1490,1420,1445,18987500
2024-02-15,1470,1480,1440,1470,10755100
2024-02-16,1470,1470,1420,1420,15479400
2024-02-19,1425,1430,1365,1370,18854600
2024-02-20,1375,1425,1360,1400,11400900
2024-02-21,1420,1420,1390,1395,5473800
2024-02-22,1400,1400,1370,1375,7545600
2024-02-23,1380,1385,1325,1340,17354600
2024-02-26,1340,1365,1330,1355,20774500
2024-02-27,1355,1420,1355,1415,21185600
2024-02-28,1430,1435,1410,1420,16375000
2024-02-29,1410,1510,1375,1375,65403100
2024-03-01,1385,1435,1380,1420,8209400
2024-03-04,1425,1440,1380,1395,8566900
2024-03-05,1420,1420,1355,1360,7633500
2024-03-06,1385,1385,1360,1370,3805200
2024-03-07,1370,1380,1345,1350,7722500
2024-03-08,1350,1360,1260,1265,68778704
2024-03-13,1265,1300,1235,1250,36784300
2024-03-14,1250,1250,1210,1245,44659300
2024-03-15,1245,1305,1240,1245,34976700
2024-03-18,1255,1280,1230,1260,10022500
2024-03-19,1260,1310,1260,1300,18620400
2024-03-20,1310,1335,1285,1320,23794300
2024-03-21,1320,1415,1320,1370,31358700
2024-03-22,1370,1380,1350,1360,9264600
2024-03-25,1375,1375,1355,1365,9213900
2024-03-26,1370,1390,1365,1375,7364800
2024-03-27,1400,1400,1370,1380,8390400
2024-03-28,1380,1385,1335,1355,20536200
2024-04-01,1300,1305,1240,1260,35822400
2024-04-02,1260,1285,1250,1265,22776900
2024-04-03,1290,1290,1245,1245,9597800
2024-04-04,1270,1285,1240,1250,6739800
2024-04-05,1245,1250,1230,1235,11272200
2024-04-16,1255,1255,1165,1165,26188300
2024-04-17,1190,1190,1115,1125,27653700
2024-04-18,1125,1140,1100,1105,17545900
2024-04-19,1105,1125,1085,1100,16303300
2024-04-22,1115,1120,1100,1115,11102700
2024-04-23,1120,1170,1115,1140,20448000
2024-04-24,1165,1165,1075,1085,20352700
2024-04-25,1085,1090,1050,1075,13330300
2024-04-26,1080,1080,1020,1020,24525900
2024-04-29,1020,1195,1020,1125,67067000
2024-04-30,1130,1235,1125,1215,34391900
2024-05-02,1240,1240,1160,1175,17886600
2024-05-03,1180,1215,1160,1200,11625700
2024-05-06,1230,1230,1190,1195,7946000
2024-05-07,1195,1210,1180,1195,8826200
2024-05-08,1220,1220,1170,1170,18020000
2024-05-13,1170,1220,1170,1220,9199100
2024-05-14,1220,1235,1200,1200,8359200
2024-05-15,1225,1225,1195,1215,4341100
2024-05-16,1215,1280,1215,1255,12494500
2024-05-17,1260,1275,1250,1270,7297100
2024-05-20,1270,1290,1255,1265,9690200
2024-05-21,1265,1285,1210,1210,10977900
2024-05-22,1235,1235,1190,1195,4760500
2024-05-27,1195,1205,1150,1150,8444700
2024-05-28,1150,1160,1130,1135,5073200
2024-05-29,1160,1160,1115,1120,3967200
2024-05-30,1120,1130,1080,1110,6874800
2024-05-31,1110,1165,1100,1165,13294400
2024-06-03,1145,1160,1125,1145,8168400
2024-06-04,1145,1175,1135,1150,5036200
2024-06-05,1175,1175,1130,1145,3588600
2024-06-06,1150,1160,1140,1155,3041900
2024-06-07,1155,1170,1130,1130,4406300
2024-06-10,1150,1160,1120,1130,2686200
2024-06-11,1130,1135,1105,1115,3715400
2024-06-12,1140,1140,1080,1100,7475100
2024-06-13,1110,1120,1080,1085,3746500
2024-06-14,1090,1090,1030,1045,9047700
2024-06-19,1035,1050,1015,1020,7753600
2024-06-20,1020,1030,1000,1025,9979100
2024-06-21,1030,1110,1025,1085,12952300
2024-06-24,1090,1145,1090,1130,8382000
2024-06-25,1140,1145,1090,1095,7147600
2024-06-26,1120,1130,1095,1100,3830400
2024-06-27,1100,1130,1100,1120,5775900
2024-06-28,1130,1155,1120,1145,7223600
2024-07-01,1145,1170,1135,1155,6294500
2024-07-02,1160,1170,1145,1145,4734200
2024-07-03,1165,1165,1140,1150,2195500
2024-07-04,1150,1185,1150,1175,6440300
2024-07-05,1180,1190,1160,1175,3991900
2024-07-08,1175,1225,1160,1220,9241300
2024-07-09,1225,1245,1210,1215,9936900
2024-07-10,1220,1220,1190,1200,8372200
2024-07-11,1205,1220,1190,1200,6529300
2024-07-12,1200,1220,1200,1205,3891500
2024-07-15,1210,1215,1180,1185,4796300
2024-07-16,1185,1195,1175,1175,3263500
2024-07-17,1200,1210,1175,1205,4161500
2024-07-18,1210,1215,1190,1205,2672000
2024-07-19,1205,1220,1195,1200,3328200
2024-07-22,1200,1205,1155,1175,6849800
2024-07-23,1175,1195,1160,1165,4738800
2024-07-24,1190,1190,1145,1150,6481500
2024-07-25,1155,1155,1100,1110,8981200
2024-07-26,1130,1165,1115,1140,7455400
2024-07-29,1150,1180,1150,1160,8384000
2024-07-30,1155,1160,1125,1125,5616700
2024-07-31,1150,1150,1115,1140,5806600
2024-08-01,1145,1190,1135,1170,9060400
2024-08-02,1175,1205,1155,1190,6355800
2024-08-05,1180,1190,1100,1135,16133400
2024-08-06,1140,1155,1120,1140,5731600
2024-08-07,1150,1155,1135,1150,3982800
2024-08-08,1150,1165,1140,1145,2226100
2024-08-09,1165,1165,1145,1145,3285200
2024-08-12,1145,1150,1130,1145,2658300
2024-08-13,1145,1180,1140,1170,5398200
2024-08-14,1180,1195,1170,1185,6014800
2024-08-15,1190,1195,1170,1185,4622500
2024-08-16,1195,1220,1180,1210,8368200
2024-08-19,1210,1280,1210,1255,18398100
2024-08-20,1260,1270,1245,1250,7550300
2024-08-21,1275,1280,1230,1235,9825200
2024-08-22,1230,1240,1200,1205,9357600
2024-08-23,1210,1275,1210,1265,13998700
2024-08-26,1275,1330,1270,1310,22521300
2024-08-27,1315,1325,1280,1300,10702700
2024-08-28,1305,1305,1260,1265,17414500
2024-08-29,1265,1310,1250,1285,21473600
2024-08-30,1300,1300,1265,1265,9009400
2024-09-02,1285,1285,1260,1275,8828600
2024-09-03,1275,1290,1255,1255,4951400
2024-09-04,1255,1255,1235,1240,4480200
2024-09-05,1240,1270,1240,1260,3730400
2024-09-06,1260,1275,1255,1270,3091500
2024-09-09,1265,1270,1235,1235,5492300
2024-09-10,1235,1250,1230,1235,2720200
2024-09-11,1260,1260,1220,1220,5184500
2024-09-12,1220,1235,1220,1235,2090800
2024-09-13,1235,1245,1210,1235,4280800
2024-09-17,1235,1265,1230,1240,11272400
2024-09-18,1255,1330,1245,1315,26517700
2024-09-19,1315,1430,1315,1410,57274100
2024-09-20,1415,1425,1355,1355,24910200
2024-09-23,1355,1385,1355,1365,9287700
2024-09-24,1365,1375,1335,1345,11997600
2024-09-25,1365,1365,1265,1275,31298300
2024-09-26,1280,1285,1255,1260,12466400
2024-09-27,1270,1270,1250,1270,11382600
2024-09-30,1270,1275,1210,1215,21195500
2024-10-01,1215,1235,1210,1235,11526800
2024-10-02,1260,1260,1200,1205,11407200
2024-10-03,1205,1210,1180,1180,15612800
2024-10-04,1180,1185,1160,1170,9698100
2024-10-07,1185,1185,1150,1170,10068400
2024-10-08,1170,1220,1155,1210,31261100
2024-10-09,1215,1230,1180,1185,14004700
2024-10-10,1200,1200,1180,1185,3971000
2024-10-11,1190,1195,1175,1190,4885000
2024-10-14,1190,1190,1180,1180,7156700
2024-10-15,1180,1200,1180,1190,10374700
2024-10-16,1190,1200,1170,1170,20858200
2024-10-17,1180,1200,1175,1185,17199300
2024-10-18,1185,1185,1170,1175,9031300
2024-10-21,1190,1190,1170,1175,7768900
2024-10-22,1180,1180,1160,1160,7165500
2024-10-23,1180,1180,1135,1135,19151600
2024-10-24,1140,1150,1125,1135,9454600
2024-10-25,1135,1145,1120,1125,9249200
2024-10-28,1125,1130,1080,1080,27093700
2024-10-29,1080,1085,1065,1080,12214500
2024-10-30,1095,1095,1050,1065,21197300
2024-10-31,1065,1070,1050,1065,11520100
2024-11-01,1060,1065,1040,1050,8791300
2024-11-04,1055,1060,1035,1045,7853300
2024-11-05,1045,1050,1030,1045,11384300
2024-11-06,1050,1070,1035,1050,11723800
2024-11-07,1050,1050,1020,1020,9313700
2024-11-08,1020,1035,1020,1030,6468900
2024-11-11,1035,1035,965,1010,34575200
2024-11-12,1005,1015,985,990,17429000
2024-11-13,1000,1010,965,975,22951100
2024-11-14,970,985,940,945,30121500
2024-11-15,950,950,930,940,12864000
2024-11-18,940,950,910,920,21300200
2024-11-19,925,945,915,930,17929500
2024-11-20,930,940,905,910,20698200
2024-11-21,910,925,910,910,8548000
2024-11-22,910,945,910,935,11270300
2024-11-25,935,950,910,910,81427696
2024-11-26,925,930,905,915,24460100
2024-11-28,915,930,915,920,5813700
2024-11-29,925,935,900,910,11727000
2024-12-02,915,915,875,875,21796600
2024-12-03,885,900,875,890,9700200
2024-12-04,895,915,885,900,7520100
2024-12-05,900,930,900,920,18174700
2024-12-06,920,975,915,965,24701800
2024-12-09,965,970,930,940,13591800
2024-12-10,945,960,925,955,7954800
2024-12-11,955,970,945,950,7737400
2024-12-12,950,955,925,930,6033900
2024-12-13,940,940,920,925,3997000
2024-12-16,925,940,905,910,10617700
2024-12-17,910,920,895,895,7184400
2024-12-18,900,915,885,900,6386000
2024-12-19,900,905,880,885,7247800
2024-12-20,880,920,880,900,9123900
2024-12-23,905,945,905,935,10217700
2024-12-24,935,940,920,925,4145700
2024-12-27,925,935,910,915,3833300
2024-12-30,920,925,910,925,4938300
2025-01-02,925,940,915,935,4734900
2025-01-03,935,940,920,920,4269800
2025-01-06,930,930,895,895,7422800
2025-01-07,900,910,895,905,4615900
2025-01-08,900,910,890,895,4013200
2025-01-09,895,930,875,900,10005100
2025-01-10,900,905,890,890,3567300
2025-01-13,890,890,870,875,9926700
2025-01-14,875,885,860,860,7975000
2025-01-15,860,920,860,905,7757200
2025-01-16,915,930,905,920,6089700
2025-01-17,920,925,900,915,5194800
2025-01-20,930,935,905,910,3866800
2025-01-21,915,940,910,920,7995200
2025-01-22,925,940,925,935,7243600
2025-01-23,940,955,930,935,6712500
2025-01-24,935,935,915,925,3412100
2025-01-30,920,920,895,895,6284000
2025-01-31,895,940,895,925,6585200
2025-02-03,920,930,895,920,7589000
2025-02-04,925,945,910,925,3735100
2025-02-05,935,940,905,910,4609700
2025-02-06,915,920,885,885,9372300
2025-02-07,890,920,880,920,7296900
2025-02-10,920,940,895,900,5414600
2025-02-11,900,905,880,885,8326800
2025-02-12,890,920,875,920,5686800
2025-02-13,920,925,900,920,4298300
2025-02-14,920,925,905,910,3628700
2025-02-17,925,990,925,990,27575300
2025-02-18,1000,1030,995,1005,22576700
2025-02-19,1005,1015,980,985,10695800
2025-02-20,985,995,970,975,5686600
2025-02-21,975,990,955,970,8094100
2025-02-24,970,980,950,960,5563500
2025-02-25,970,970,925,940,8390800
2025-02-26,945,965,940,950,5780700
2025-02-27,950,955,915,915,7455500
2025-02-28,910,920,875,875,11923800
2025-03-03,875,925,875,915,6904000
2025-03-04,915,920,890,900,3368800
2025-03-05,905,965,905,965,9730900
2025-03-06,975,1005,960,960,12712700
2025-03-07,965,990,955,980,4698700
2025-03-10,980,980,940,945,6425100
2025-03-11,935,945,930,945,4376900
2025-03-12,950,975,930,935,8420000
2025-03-13,935,940,925,925,3271600
2025-03-14,925,925,905,905,5288700
2025-03-17,910,915,895,905,7322700
2025-03-18,905,910,855,895,14996800
2025-03-19,905,920,885,915,9220400
