date,open,high,low,close,volume
2024-01-16,1210.0,1210.0,1210.0,1210.0,13305000
2024-01-17,1090.0,1090.0,1090.0,1090.0,5624000
2024-01-18,982.5,982.5,982.5,982.5,13485000
2024-01-19,890.0,890.0,885.0,885.0,26924000
2024-01-22,797.5,845.0,797.5,820.0,946694976
2024-01-23,820.0,900.0,805.0,900.0,356259008
2024-01-24,917.5,977.5,905.0,932.5,334164992
2024-01-25,935.0,955.0,875.0,882.5,145191008
2024-01-26,882.5,885.0,800.0,825.0,122507000
2024-01-29,827.5,852.5,742.5,742.5,151714000
2024-01-30,730.0,762.5,670.0,685.0,268254000
2024-01-31,690.0,720.0,625.0,657.5,167238000
2024-02-01,655.0,687.5,637.5,660.0,103113000
2024-02-02,662.5,682.5,642.5,680.0,85611000
2024-02-05,685.0,747.5,680.0,747.5,173184992
2024-02-06,745.0,817.5,732.5,810.0,155664000
2024-02-07,810.0,835.0,750.0,780.0,171260992
2024-02-12,780.0,780.0,730.0,730.0,92301000
2024-02-13,710.0,710.0,657.5,657.5,31321000
2024-02-15,620.0,660.0,592.5,592.5,120606000
2024-02-16,592.5,682.5,550.0,662.5,252439008
2024-02-19,682.5,795.0,682.5,790.0,312315008
2024-02-20,795.0,800.0,702.5,705.0,254536000
2024-02-21,710.0,745.0,675.0,695.0,116415000
2024-02-22,697.5,717.5,687.5,710.0,54451000
2024-02-23,717.5,730.0,690.0,692.5,51919000
2024-02-26,695.0,710.0,682.5,700.0,40787000
2024-02-27,707.5,707.5,680.0,680.0,31371000
2024-02-28,680.0,727.5,677.5,705.0,77428000
2024-02-29,715.0,727.5,692.5,712.5,333993984
2024-03-01,730.0,740.0,702.5,710.0,86590000
2024-03-04,720.0,722.5,687.5,690.0,77065000
2024-03-05,690.0,697.5,635.0,640.0,119445000
2024-03-06,640.0,655.0,582.5,620.0,130936000
2024-03-07,620.0,695.0,620.0,685.0,126427000
2024-03-08,670.0,687.5,642.5,657.5,85165000
2024-03-13,670.0,675.0,637.5,637.5,78323000
2024-03-14,637.5,655.0,602.5,620.0,117404000
2024-03-15,620.0,637.5,525.0,525.0,229380992
2024-03-18,525.0,525.0,458.0,472.0,331910016
2024-03-19,473.0,497.0,463.0,466.0,125706000
2024-03-20,470.0,479.0,443.0,474.0,137780992
2024-03-21,474.0,527.5,470.0,493.0,182655008
2024-03-22,493.0,502.5,485.0,494.0,58568000
2024-03-25,495.0,515.0,491.0,515.0,62374000
2024-03-26,520.0,537.5,493.0,505.0,110020000
2024-03-27,505.0,517.5,497.0,507.5,28189000
2024-03-28,510.0,515.0,496.0,496.0,33013000
2024-04-01,496.0,505.0,472.0,495.0,45757000
2024-04-02,495.0,507.5,486.0,500.0,47875000
2024-04-03,500.0,515.0,498.0,498.0,61978000
2024-04-04,499.0,507.5,495.0,498.0,29503000
2024-04-05,498.0,565.0,498.0,542.5,162260992
2024-04-16,542.5,577.5,512.5,565.0,86237000
2024-04-17,575.0,677.5,565.0,647.5,323048992
2024-04-18,650.0,650.0,597.5,612.5,158012000
2024-04-19,612.5,625.0,572.5,612.5,81483000
2024-04-22,617.5,630.0,587.5,602.5,61474000
2024-04-23,602.5,617.5,592.5,602.5,35181000
2024-04-24,605.0,647.5,602.5,627.5,100488000
2024-04-25,630.0,647.5,620.0,622.5,58238000
2024-04-26,622.5,667.5,612.5,637.5,181318000
2024-04-29,640.0,717.5,640.0,715.0,236662000
2024-04-30,717.5,765.0,717.5,745.0,188550000
2024-05-02,765.0,775.0,725.0,760.0,157791008
2024-05-03,760.0,765.0,695.0,702.5,139362000
2024-05-06,702.5,725.0,702.5,720.0,61399000
2024-05-07,720.0,742.5,717.5,732.5,71872000
2024-05-08,735.0,752.5,705.0,705.0,57602000
2024-05-13,707.5,767.5,705.0,750.0,140296992
2024-05-14,752.5,765.0,725.0,735.0,89364000
2024-05-15,735.0,785.0,715.0,785.0,219592000
2024-05-16,800.0,862.5,785.0,825.0,324779008
2024-05-17,825.0,917.5,820.0,850.0,281992992
2024-05-20,855.0,880.0,787.5,807.5,170848992
2024-05-21,810.0,830.0,807.5,812.5,61516000
2024-05-22,822.5,825.0,802.5,810.0,34209000
2024-05-27,805.0,820.0,700.0,725.0,155538000
2024-05-28,725.0,817.5,725.0,780.0,144056000
2024-05-29,780.0,780.0,662.5,760.0,235222000
2024-05-30,760.0,792.5,740.0,755.0,75742000
2024-05-31,755.0,772.5,745.0,750.0,32100000
2024-06-03,750.0,825.0,750.0,800.0,101832000
2024-06-04,800.0,832.5,800.0,822.5,71670000
2024-06-05,800.0,812.5,755.0,755.0,106023000
2024-06-06,760.0,777.5,742.5,747.5,23661000
2024-06-07,752.5,802.5,752.5,780.0,56122000
2024-06-10,785.0,860.0,785.0,860.0,177071008
2024-06-11,887.5,900.0,850.0,857.5,185652992
2024-06-12,857.5,877.5,827.5,832.5,64295000
2024-06-13,832.5,860.0,830.0,847.5,37866000
2024-06-14,850.0,860.0,810.0,817.5,35988000
2024-06-19,820.0,835.0,805.0,807.5,43625000
2024-06-20,817.5,820.0,795.0,805.0,23485000
2024-06-21,820.0,847.5,810.0,827.5,54215000
2024-06-24,825.0,835.0,815.0,820.0,22699000
2024-06-25,822.5,827.5,810.0,815.0,22205000
2024-06-26,815.0,827.5,812.5,817.5,18422000
2024-06-27,817.5,850.0,812.5,845.0,63909000
2024-06-28,855.0,885.0,840.0,875.0,98874000
2024-07-01,877.5,992.5,872.5,967.5,249570000
2024-07-02,970.0,1017.5,962.5,970.0,179230000
2024-07-03,970.0,1000.0,970.0,992.5,76187000
2024-07-04,995.0,1007.5,980.0,990.0,92325000
2024-07-05,995.0,1015.0,955.0,965.0,96198000
2024-07-08,965.0,965.0,905.0,910.0,120546000
2024-07-09,910.0,942.5,907.5,910.0,79833000
2024-07-10,912.5,935.0,900.0,915.0,60076000
2024-07-11,920.0,937.5,905.0,915.0,73524000
2024-07-12,917.5,925.0,900.0,905.0,57026000
2024-07-15,915.0,932.5,900.0,900.0,59206000
2024-07-16,900.0,905.0,855.0,860.0,91079000
2024-07-17,860.0,867.5,827.5,842.5,56635000
2024-07-18,845.0,895.0,832.5,890.0,75183000
2024-07-19,892.5,905.0,872.5,885.0,45398000
2024-07-22,892.5,905.0,882.5,885.0,36645000
2024-07-23,885.0,897.5,880.0,880.0,30590000
2024-07-24,880.0,917.5,880.0,882.5,63525000
2024-07-25,872.5,882.5,850.0,857.5,41287000
2024-07-26,860.0,872.5,840.0,860.0,26125000
2024-07-29,862.5,875.0,852.5,852.5,26265000
2024-07-30,857.5,862.5,842.5,847.5,22794000
2024-07-31,865.0,872.5,842.5,847.5,31624000
2024-08-01,847.5,857.5,845.0,847.5,18453000
2024-08-02,847.5,852.5,832.5,837.5,24593000
2024-08-05,835.0,837.5,740.0,750.0,98217000
2024-08-06,750.0,790.0,747.5,775.0,58097000
2024-08-07,780.0,817.5,772.5,787.5,62413000
2024-08-08,787.5,800.0,775.0,780.0,23128000
2024-08-09,782.5,795.0,777.5,780.0,16496000
2024-08-12,780.0,805.0,780.0,792.5,29110000
2024-08-13,792.5,820.0,787.5,810.0,49712000
2024-08-14,817.5,832.5,810.0,825.0,47183000
2024-08-15,827.5,832.5,802.5,802.5,29242000
2024-08-16,805.0,820.0,800.0,805.0,23756000
2024-08-19,807.5,830.0,805.0,810.0,41407000
2024-08-20,817.5,830.0,815.0,817.5,25536000
2024-08-21,817.5,825.0,807.5,810.0,31050000
2024-08-22,807.5,812.5,782.5,785.0,49365000
2024-08-23,790.0,800.0,785.0,792.5,17497000
2024-08-26,797.5,827.5,795.0,805.0,58066000
2024-08-27,810.0,812.5,790.0,805.0,40956000
2024-08-28,810.0,950.0,800.0,937.5,340504000
2024-08-29,947.5,1020.0,930.0,945.0,546198976
2024-08-30,950.0,985.0,942.5,950.0,105468000
