date,open,high,low,close,volume
2024-01-02,590,600,570,585,19676600
2024-01-03,580,585,570,575,6593100
2024-01-04,575,575,565,565,10464900
2024-01-05,570,580,565,565,14253400
2024-01-08,570,570,555,555,11534900
2024-01-09,565,580,550,555,25473400
2024-01-10,555,585,555,575,24430600
2024-01-11,580,580,560,560,22201900
2024-01-12,560,570,550,555,17365200
2024-01-15,555,555,540,545,29225300
2024-01-16,545,560,545,550,20503600
2024-01-17,555,555,540,550,16556200
2024-01-18,550,555,545,555,12058300
2024-01-19,555,555,535,535,18941000
2024-01-22,540,550,520,535,47978800
2024-01-23,535,535,520,535,21612300
2024-01-24,535,535,515,525,16254800
2024-01-25,525,525,515,520,9345300
2024-01-26,520,520,490,496,40243500
2024-01-29,498,500,468,470,37488000
2024-01-30,472,484,466,468,52540300
2024-01-31,470,480,458,464,91994000
2024-02-01,466,498,462,494,89838400
2024-02-02,498,510,474,484,67344704
2024-02-05,484,486,462,462,54135600
2024-02-06,466,480,460,474,37702900
2024-02-07,474,490,472,472,38921000
2024-02-12,472,482,472,474,14174400
2024-02-13,478,478,464,464,20928700
2024-02-15,470,480,468,470,30744400
2024-02-16,476,478,454,456,48612000
2024-02-19,456,466,454,456,18849600
2024-02-20,456,472,456,466,30380000
2024-02-21,470,470,456,468,20931300
2024-02-22,468,472,450,462,21169300
2024-02-23,468,472,464,472,14894300
2024-02-26,472,472,458,462,15751300
2024-02-27,460,466,458,466,10611400
2024-02-28,466,470,458,458,21238400
2024-02-29,460,474,454,470,47032600
2024-03-01,466,474,462,474,19032300
2024-03-04,474,474,462,462,12915300
2024-03-05,464,466,452,456,17757300
2024-03-06,456,472,452,470,36360400
2024-03-07,472,472,460,460,17851100
2024-03-08,462,472,458,464,19791700
2024-03-13,464,466,456,456,23699000
2024-03-14,458,462,452,452,12944900
2024-03-15,452,456,414,414,114326496
2024-03-18,420,454,418,448,86684896
2024-03-19,450,452,436,436,23902900
2024-03-20,438,450,432,434,27625200
2024-03-21,436,446,432,432,26009000
2024-03-22,436,456,436,444,38817700
2024-03-25,444,446,434,440,17639200
2024-03-26,440,442,434,440,10557600
2024-03-27,440,444,432,432,16888200
2024-03-28,434,440,426,436,22244300
2024-04-01,436,438,418,438,31078000
2024-04-02,428,436,426,436,17226900
2024-04-03,432,434,424,424,13740100
2024-04-04,426,428,420,428,7494900
2024-04-05,424,430,422,430,6043700
2024-04-16,428,428,408,412,25707300
2024-04-17,412,418,392,398,27188100
2024-04-18,398,400,388,390,19675700
2024-04-19,388,388,366,370,35023300
2024-04-22,370,378,362,372,17850000
2024-04-23,372,388,370,372,20573600
2024-04-24,372,376,366,370,12143600
2024-04-25,370,370,360,366,9322900
2024-04-26,364,364,350,350,14111700
2024-04-29,350,374,350,374,27004400
2024-04-30,374,394,368,386,28052600
2024-05-02,400,402,378,378,43725600
2024-05-03,378,388,374,376,16761100
2024-05-06,380,414,380,400,52697700
2024-05-07,402,446,400,440,92702400
2024-05-08,440,454,412,416,73535504
2024-05-13,414,434,412,430,34605600
2024-05-14,430,434,422,426,14162700
2024-05-15,434,434,414,416,18807300
2024-05-16,418,444,416,428,62230000
2024-05-17,430,458,426,442,92386704
2024-05-20,448,450,438,450,22949300
2024-05-21,450,458,432,442,30954900
2024-05-22,442,450,436,442,16849700
2024-05-27,440,460,430,452,78801200
2024-05-28,454,462,438,440,69604704
2024-05-29,442,444,424,430,38440000
2024-05-30,430,436,416,422,24524100
2024-05-31,420,436,420,424,47908000
2024-06-03,424,434,420,422,28282700
2024-06-04,424,436,422,422,23881900
2024-06-05,426,430,394,394,50799200
2024-06-06,394,404,394,404,18005000
2024-06-07,400,408,390,390,14748400
2024-06-10,388,392,378,382,16276800
2024-06-11,380,390,374,376,11045100
2024-06-12,380,380,362,370,20271700
2024-06-13,370,390,368,380,25916900
2024-06-14,380,384,360,366,17241900
2024-06-19,368,370,350,352,28342100
2024-06-20,352,394,352,374,62090300
2024-06-21,372,390,372,380,68625000
2024-06-24,382,394,380,388,35011400
2024-06-25,388,390,378,390,14545800
2024-06-26,392,402,384,386,28841900
2024-06-27,386,394,384,390,13899500
2024-06-28,392,400,388,388,21690600
2024-07-01,390,398,390,392,11386400
2024-07-02,394,396,386,388,12708600
2024-07-03,388,398,388,396,10522700
2024-07-04,396,426,396,420,93873200
2024-07-05,422,428,416,416,23503900
2024-07-08,416,450,416,446,100531400
2024-07-09,446,446,436,440,27106100
2024-07-10,440,454,430,430,43813600
2024-07-11,432,446,428,446,82957904
2024-07-12,446,450,434,434,25808800
2024-07-15,436,444,434,442,19785900
2024-07-16,442,442,432,440,17445900
2024-07-17,440,462,440,446,75552200
2024-07-18,448,448,430,430,44882900
2024-07-19,432,434,420,422,26206600
2024-07-22,422,430,420,424,12501100
2024-07-23,424,442,424,438,47090500
2024-07-24,440,446,424,432,68033800
2024-07-25,426,432,422,432,17742500
2024-07-26,430,436,424,426,11483400
2024-07-29,426,432,422,428,13880800
2024-07-30,428,430,416,422,21031700
2024-07-31,422,424,406,408,42740800
2024-08-01,410,412,396,402,25574700
2024-08-02,398,416,398,402,47725700
2024-08-05,404,414,370,378,61921500
2024-08-06,378,400,378,388,40275900
2024-08-07,390,408,390,394,38515400
2024-08-08,396,398,388,388,18939900
2024-08-09,388,396,388,390,12452100
2024-08-12,390,394,386,390,19962400
2024-08-13,390,396,388,392,26917500
2024-08-14,394,406,394,400,55064800
2024-08-15,400,402,394,396,16002800
2024-08-16,396,404,396,400,14455800
2024-08-19,400,402,396,400,10532800
2024-08-20,400,418,400,416,95179696
2024-08-21,418,422,410,410,44754000
2024-08-22,410,412,394,396,41701300
2024-08-23,398,404,396,400,13889200
2024-08-26,402,404,400,402,12169200
2024-08-27,402,402,396,402,13070800
2024-08-28,402,402,398,400,12189800
2024-08-29,400,402,392,392,18174500
2024-08-30,394,402,394,402,14329500
2024-09-02,400,424,398,420,85392200
2024-09-03,422,434,410,410,66697500
2024-09-04,410,410,400,402,25504300
2024-09-05,402,408,400,404,11893500
2024-09-06,404,408,402,402,10674500
2024-09-09,402,404,392,394,31367100
2024-09-10,396,398,390,394,19233300
2024-09-11,394,398,390,398,13963200
2024-09-12,398,408,398,404,21430400
2024-09-13,406,410,404,410,13269500
2024-09-17,410,412,406,406,8419500
2024-09-18,408,422,406,416,59474200
2024-09-19,420,420,410,410,21563500
2024-09-20,412,416,394,394,53248300
2024-09-23,394,406,394,406,31677900
2024-09-24,406,408,398,400,14224200
2024-09-25,400,414,398,414,71674896
2024-09-26,414,418,410,416,33179600
2024-09-27,416,418,408,412,21498000
2024-09-30,416,420,410,414,29802300
2024-10-01,414,420,410,418,26829800
2024-10-02,420,422,400,404,48485700
2024-10-03,404,408,396,408,22515100
2024-10-04,408,410,400,400,9600800
2024-10-07,400,434,400,428,215636304
2024-10-08,434,452,422,452,176105792
2024-10-09,452,454,434,438,61144600
2024-10-10,440,446,432,432,23085000
2024-10-11,440,440,428,434,26301000
2024-10-14,436,446,430,440,31540300
2024-10-15,444,446,436,440,21092300
2024-10-16,442,442,430,434,17815800
2024-10-17,436,436,430,430,22171300
2024-10-18,432,438,428,438,15587300
2024-10-21,438,515,436,505,250345408
2024-10-22,505,530,500,505,114878096
2024-10-23,505,505,486,486,65565800
2024-10-24,486,515,482,510,116873600
2024-10-25,510,525,492,492,48810300
2024-10-28,490,496,462,482,58976100
2024-10-29,482,515,474,496,70698496
2024-10-30,496,498,484,488,26602700
2024-10-31,488,510,486,510,56929000
2024-11-01,510,525,480,484,75058400
2024-11-04,486,490,470,478,35622000
2024-11-05,478,488,450,450,67960400
2024-11-06,452,464,446,460,54185500
2024-11-07,460,460,450,450,21249400
2024-11-08,450,474,450,472,43584100
2024-11-11,472,492,462,490,47438000
2024-11-12,492,500,482,496,30997300
2024-11-13,496,510,492,500,29041600
2024-11-14,496,510,484,500,22643300
2024-11-15,500,500,478,482,18105500
2024-11-18,480,486,460,460,21395400
2024-11-19,460,482,460,476,36285800
2024-11-20,474,492,472,488,28637500
2024-11-21,490,494,478,480,16012200
2024-11-22,482,500,480,484,31922300
2024-11-25,484,494,472,474,29820400
2024-11-26,472,484,470,482,24679000
2024-11-28,482,510,476,490,69341904
2024-11-29,492,500,480,486,32080000
2024-12-02,480,520,480,510,70931296
2024-12-03,510,560,505,550,188426000
2024-12-04,550,555,530,540,58298400
2024-12-05,540,545,520,530,29904800
2024-12-06,530,580,530,575,80798496
2024-12-09,580,590,560,575,48611600
2024-12-10,580,620,570,620,121387400
2024-12-11,625,625,585,600,57306600
2024-12-12,600,620,595,610,41626700
2024-12-13,615,615,565,585,38624500
2024-12-16,585,590,550,575,35712300
2024-12-17,575,580,550,555,46939300
2024-12-18,555,570,535,560,36183200
2024-12-19,545,555,510,530,53947800
2024-12-20,530,535,510,525,18937700
2024-12-23,540,550,515,545,32946500
2024-12-24,545,550,515,515,30412700
2024-12-27,520,525,486,486,52177600
2024-12-30,490,500,478,492,22650200
2025-01-02,496,525,492,525,36661200
2025-01-03,530,535,520,525,15034500
2025-01-06,535,550,525,550,26429000
2025-01-07,550,555,520,525,19107400
2025-01-08,525,530,510,525,13040600
2025-01-09,520,545,510,520,18362900
2025-01-10,520,535,515,525,10956400
2025-01-13,525,525,500,500,23854600
2025-01-14,500,545,492,540,47796900
2025-01-15,555,630,550,565,235198896
2025-01-16,570,575,530,535,63571500
2025-01-17,535,550,530,540,27796900
2025-01-20,545,580,530,550,53083000
2025-01-21,560,575,550,560,36348500
2025-01-22,560,570,555,555,17144400
2025-01-23,560,575,555,555,18365100
2025-01-24,555,555,540,540,12708900
2025-01-30,535,580,535,575,28975900
2025-01-31,575,580,560,565,28786600
2025-02-03,565,565,525,535,34860500
2025-02-04,540,565,540,550,23003000
2025-02-05,555,575,545,570,27918500
2025-02-06,575,595,550,575,30568500
2025-02-07,575,595,555,590,47680200
2025-02-10,590,610,575,575,57891000
2025-02-11,575,595,560,580,50135000
2025-02-12,580,610,575,600,66693400
2025-02-13,610,625,590,615,55865600
2025-02-14,620,635,610,620,42882900
2025-02-17,620,635,610,610,37144700
2025-02-18,610,625,595,625,30507200
2025-02-19,625,650,620,630,49315300
2025-02-20,630,645,625,640,16170700
2025-02-21,645,645,615,640,20403200
2025-02-24,640,650,620,640,18842100
2025-02-25,640,665,555,555,112812800
2025-02-26,555,570,510,555,140603696
2025-02-27,555,565,525,565,40748300
2025-02-28,545,565,525,545,54229800
2025-03-03,550,565,540,560,46802200
2025-03-04,560,560,530,540,20301300
2025-03-05,540,550,530,550,21294300
2025-03-06,555,585,550,575,33028300
2025-03-07,575,580,540,540,53686800
2025-03-10,545,550,535,550,16480000
2025-03-11,530,545,525,540,17046700
2025-03-12,540,545,530,530,9665000
2025-03-13,535,540,520,520,16921500
2025-03-14,520,525,492,510,47453300
2025-03-17,515,525,500,520,23316800
2025-03-18,520,520,460,492,59651300
2025-03-19,494,540,488,525,68180896
2025-03-20,525,550,520,535,46311200
2025-03-21,535,555,515,535,94975296
2025-03-24,550,550,496,515,21445700
2025-03-25,515,525,498,498,14829400
2025-03-26,535,545,515,530,21972300
2025-03-27,530,550,510,545,26602300
2025-04-08,484,494,472,482,56130400
2025-04-09,470,492,470,480,35840200
2025-04-10,498,520,490,520,63970000
2025-04-11,515,520,498,510,13497100
2025-04-14,510,525,510,515,10869500
2025-04-15,520,530,500,505,15332100
2025-04-16,505,510,496,496,11750000
2025-04-17,500,515,498,515,18308900
2025-04-21,515,515,505,510,7715900
2025-04-22,510,520,500,505,15703500
2025-04-23,515,515,505,505,22958000
2025-04-24,510,515,500,505,13151700
2025-04-25,505,545,500,535,36598200
2025-04-28,545,560,540,540,26587200
2025-04-29,550,555,530,535,22435900
2025-04-30,535,550,535,535,16400400
2025-05-02,560,595,560,580,87096096
2025-05-05,600,620,580,595,56129400
2025-05-06,595,600,585,595,20704600
2025-05-07,605,615,585,595,73451400
2025-05-08,570,600,565,575,70183296
2025-05-09,590,595,570,585,26446800
2025-05-14,595,600,575,580,39376900
2025-05-15,585,595,565,575,57199500
2025-05-16,585,585,560,565,31005900
2025-05-19,565,585,565,570,24772200
2025-05-20,570,580,545,550,80350000
2025-05-21,550,560,535,540,51508800
2025-05-22,540,550,535,535,55630300
2025-05-23,540,560,535,545,41263300
2025-05-26,550,560,540,550,34030600
2025-05-27,555,555,540,550,19380400
2025-05-28,550,570,540,570,54023400
2025-06-02,575,585,560,570,66592800
2025-06-03,570,575,555,560,18990300
2025-06-04,570,575,555,575,31670400
2025-06-05,575,580,560,565,16427500
2025-06-10,565,590,565,580,68933400
2025-06-11,585,585,565,570,24555800
2025-06-12,575,580,560,570,24392100
2025-06-13,570,570,550,550,28468600
2025-06-16,550,555,540,540,26048100
2025-06-17,545,555,535,555,19520300
2025-06-18,555,565,540,540,17505300
2025-06-19,545,550,520,520,30903400
2025-06-20,520,530,510,510,203270000
2025-06-23,500,505,482,486,53807000
2025-06-24,492,498,486,486,34739300
2025-06-25,490,492,464,472,49492100
2025-06-26,472,482,468,474,26786000
2025-06-30,474,494,474,484,28466900
2025-07-01,480,488,478,482,12757400
2025-07-02,482,484,470,478,23096500
2025-07-03,478,480,472,478,20333900
2025-07-04,478,478,470,472,15287000
2025-07-07,472,478,472,476,9444600
2025-07-08,474,480,474,478,10508900
2025-07-09,478,484,472,482,24354700
2025-07-10,486,498,480,488,38990700
2025-07-11,490,496,486,490,27992100
2025-07-14,496,505,486,490,31131800
2025-07-15,490,494,482,492,23935600
2025-07-16,494,520,494,520,47940700
2025-07-17,520,545,515,545,65384200
2025-07-18,550,590,545,580,162878000
2025-07-21,580,635,575,615,183740096
2025-07-22,625,635,605,605,109402304
2025-07-23,620,620,585,610,41119800
2025-07-24,610,620,585,590,35697200
2025-07-25,595,620,580,610,75035600
2025-07-28,620,630,610,620,71474496
2025-07-29,615,615,600,610,42345800
2025-07-30,620,655,600,635,150772704
2025-07-31,640,640,625,625,70853200
2025-08-01,630,665,625,665,168985296
2025-08-04,685,780,655,760,333503488
2025-08-05,770,820,765,795,251799392
2025-08-06,780,795,770,780,69292704
2025-08-07,780,835,780,805,132726400
2025-08-08,810,880,780,880,117986304
2025-08-11,890,990,870,960,300786304
2025-08-12,960,1020,930,950,253907504
2025-08-13,955,995,945,975,132224200
2025-08-14,980,1050,980,1015,148293504
2025-08-15,1020,1030,955,955,111979696
2025-08-19,955,1095,925,1080,281353504
2025-08-20,1085,1090,1020,1085,142933504
2025-08-21,1100,1125,1035,1050,130041296
2025-08-22,1070,1195,1060,1170,199003296
2025-08-25,1180,1435,1180,1380,377309600
2025-08-26,1390,1430,1310,1360,180799392
2025-08-27,1370,1370,1255,1290,241203392
2025-08-28,1305,1310,1250,1300,110932704
2025-08-29,1265,1270,1185,1215,211317792
2025-09-01,1165,1250,1130,1250,149591008
2025-09-02,1270,1330,1270,1315,175574400
2025-09-03,1330,1380,1310,1340,124195696
2025-09-04,1345,1355,1295,1305,101163600
2025-09-08,1310,1315,1230,1245,80582400
2025-09-09,1230,1285,1215,1240,68163504
2025-09-10,1260,1265,1185,1230,91576800
2025-09-11,1245,1265,1200,1220,67840096
2025-09-12,1225,1260,1205,1225,36666400
2025-09-15,1250,1290,1235,1270,91933504
2025-09-16,1280,1280,1150,1150,153001600
2025-09-17,1150,1180,1065,1125,196855600
2025-09-18,1140,1250,1130,1245,182644000
2025-09-19,1245,1265,1215,1225,147564000
2025-09-22,1235,1270,1205,1235,94589200
2025-09-23,1235,1250,1210,1225,58479100
2025-09-24,1225,1230,1180,1205,71663296
2025-09-25,1220,1305,1215,1225,130615696
2025-09-26,1260,1345,1240,1315,197126800
2025-09-29,1365,1465,1285,1295,324621696
2025-09-30,1300,1310,1255,1255,72325296
2025-10-01,1255,1565,1235,1565,471810400
2025-10-02,1650,1700,1490,1540,609757824
2025-10-03,1560,1565,1490,1500,231516992
2025-10-06,1500,1560,1470,1495,112103800
