date,open,high,low,close,volume
2024-01-02,1435,1530,1435,1525,11479100
2024-01-03,1520,1530,1490,1505,9694500
2024-01-04,1505,1605,1505,1605,24831500
2024-01-05,1610,1625,1580,1580,13566500
2024-01-08,1585,1610,1545,1545,10951600
2024-01-09,1550,1565,1520,1545,9527200
2024-01-10,1565,1620,1555,1560,18272000
2024-01-11,1560,1570,1540,1545,5047800
2024-01-12,1545,1585,1535,1565,8428600
2024-01-15,1580,1620,1580,1595,14376700
2024-01-16,1595,1600,1580,1595,5576700
2024-01-17,1595,1600,1565,1570,5912700
2024-01-18,1570,1575,1550,1550,4103300
2024-01-19,1555,1565,1510,1525,5074900
2024-01-22,1535,1535,1450,1450,9139000
2024-01-23,1450,1465,1410,1420,6700900
2024-01-24,1420,1430,1390,1400,5524600
2024-01-25,1405,1435,1405,1415,6729000
2024-01-26,1420,1430,1370,1370,12562000
2024-01-29,1380,1400,1365,1365,7269000
2024-01-30,1365,1390,1355,1375,6122600
2024-01-31,1380,1410,1380,1380,10605400
2024-02-01,1390,1390,1350,1355,9948300
2024-02-02,1355,1360,1300,1305,24103000
2024-02-05,1310,1330,1300,1315,10158800
2024-02-06,1320,1340,1305,1325,10852700
2024-02-07,1330,1335,1310,1320,7830100
2024-02-12,1320,1330,1310,1330,6664400
2024-02-13,1330,1335,1310,1330,9663100
2024-02-15,1330,1365,1320,1350,9579500
2024-02-16,1350,1350,1325,1335,7066200
2024-02-19,1335,1340,1305,1310,8579700
2024-02-20,1310,1325,1300,1320,6017300
2024-02-21,1320,1320,1300,1305,6914200
2024-02-22,1305,1325,1295,1320,6430900
2024-02-23,1325,1325,1310,1325,3543300
2024-02-26,1325,1325,1285,1290,14624900
2024-02-27,1290,1305,1290,1305,7290900
2024-02-28,1305,1335,1300,1325,9642600
2024-02-29,1330,1380,1310,1360,15494300
2024-03-01,1360,1370,1340,1350,6693300
2024-03-04,1355,1385,1345,1380,10848200
2024-03-05,1385,1440,1380,1420,17799000
2024-03-06,1425,1440,1400,1425,7118900
2024-03-07,1425,1495,1405,1485,18441000
2024-03-08,1490,1495,1435,1440,8290200
2024-03-13,1440,1450,1400,1400,9056600
2024-03-14,1400,1455,1370,1455,10013500
2024-03-15,1455,1470,1435,1450,7658200
2024-03-18,1450,1515,1435,1490,14246100
2024-03-19,1495,1495,1460,1470,5215100
2024-03-20,1470,1515,1445,1450,11053200
2024-03-21,1450,1490,1445,1480,5039100
2024-03-22,1480,1505,1470,1485,6698900
2024-03-25,1490,1490,1470,1470,4846400
2024-03-26,1480,1530,1455,1480,22083300
2024-03-27,1480,1515,1475,1500,9729400
2024-03-28,1500,1525,1480,1495,9776000
2024-04-01,1495,1555,1475,1535,18119000
2024-04-02,1535,1540,1500,1535,10046600
2024-04-03,1535,1555,1455,1465,24954700
2024-04-04,1465,1505,1455,1500,9960800
2024-04-05,1495,1515,1480,1510,6434700
2024-04-16,1510,1600,1500,1585,34941700
2024-04-17,1590,1590,1490,1495,31825900
2024-04-18,1500,1515,1465,1480,10773100
2024-04-19,1480,1500,1405,1455,16524600
2024-04-22,1455,1475,1435,1460,8912500
2024-04-23,1460,1475,1430,1435,6947000
2024-04-24,1435,1450,1410,1415,7896300
2024-04-25,1415,1425,1405,1405,3219200
2024-04-26,1405,1415,1350,1365,10444900
2024-04-29,1370,1450,1360,1450,7308000
2024-04-30,1450,1455,1425,1435,5212900
2024-05-02,1435,1475,1415,1420,5404800
2024-05-03,1420,1435,1370,1395,2967900
2024-05-06,1390,1450,1390,1435,5468900
2024-05-07,1435,1465,1430,1435,4995700
2024-05-08,1445,1445,1370,1370,8353600
2024-05-13,1370,1390,1370,1380,3050700
2024-05-14,1385,1395,1375,1390,3471300
2024-05-15,1395,1405,1375,1385,3049400
2024-05-16,1385,1420,1380,1410,6164200
2024-05-17,1335,1380,1325,1355,7665200
2024-05-20,1370,1385,1350,1360,4105800
2024-05-21,1365,1375,1335,1335,3989600
2024-05-22,1335,1350,1330,1330,2832000
2024-05-27,1335,1345,1305,1320,3780900
2024-05-28,1325,1345,1315,1315,2963600
2024-05-29,1325,1335,1310,1315,2087500
