date,open,high,low,close,volume
2024-01-02,83,86,81,84,82557800
2024-01-03,84,94,82,91,397195200
2024-01-04,91,93,85,87,239503104
2024-01-05,87,88,82,85,137062800
2024-01-08,85,86,79,80,114374496
2024-01-09,81,83,77,81,246705408
2024-01-10,81,81,77,79,153279200
2024-01-11,79,80,76,80,49885900
2024-01-12,80,80,77,77,300287392
2024-01-15,77,78,72,74,223431200
2024-01-16,74,77,71,77,201063808
2024-01-17,77,79,73,75,299276416
2024-01-18,75,76,73,75,267249904
2024-01-19,75,80,70,74,362978816
2024-01-22,74,75,69,72,170706400
2024-01-23,72,72,68,70,73099200
2024-01-24,70,72,66,71,210904192
2024-01-25,75,77,69,75,565176704
2024-01-26,75,77,69,72,92403104
2024-01-29,72,72,69,70,38229200
2024-01-30,70,71,67,70,123030000
2024-01-31,70,70,67,70,47358800
2024-02-01,70,72,68,69,167121200
2024-02-02,69,69,67,69,36876700
2024-02-05,69,70,66,69,140412496
2024-02-06,69,71,67,67,134764096
2024-02-07,67,68,64,64,100849696
2024-02-12,64,65,60,64,148286896
2024-02-13,64,66,60,60,227400096
2024-02-15,52,64,52,61,236595600
2024-02-16,60,64,60,62,248040400
2024-02-19,62,63,59,60,255110496
2024-02-20,60,63,59,60,334399712
2024-02-21,61,62,58,59,319146400
2024-02-22,59,61,58,59,307556416
2024-02-23,59,59,57,59,67986200
2024-02-26,59,60,56,59,657868672
2024-02-27,58,59,57,59,210403296
2024-02-28,59,60,57,60,323190016
2024-02-29,60,63,58,60,322647104
2024-03-01,60,61,58,60,406309792
2024-03-04,60,60,58,58,214551808
2024-03-05,58,60,58,59,210747504
2024-03-06,59,60,58,60,222414000
2024-03-07,60,66,58,59,537503296
2024-03-08,59,60,58,59,290037312
2024-03-13,59,60,58,59,201806592
2024-03-14,58,59,57,57,96647800
2024-03-15,50,59,50,57,579942272
2024-03-18,57,58,54,55,255731104
2024-03-19,55,64,53,59,593961408
2024-03-20,59,63,57,59,367974688
2024-03-21,59,60,54,54,473074912
2024-03-22,55,56,51,54,232065504
2024-03-25,54,54,52,53,57351700
2024-03-26,53,56,52,54,654741184
2024-03-27,54,54,52,52,182056496
2024-03-28,52,55,50,52,290203392
2024-04-01,53,53,51,52,211359600
2024-04-02,52,53,51,52,114274496
2024-04-03,51,53,51,51,72248704
2024-04-04,51,55,50,53,321537600
2024-04-05,53,54,51,53,141416496
2024-04-16,52,54,52,53,320255904
2024-04-17,53,53,52,52,19923400
2024-04-18,52,53,51,51,60511200
2024-04-19,51,52,50,51,240777408
2024-04-22,51,51,50,50,11690300
2024-04-23,50,56,50,54,315137984
2024-04-24,54,55,52,53,163023200
2024-04-25,53,54,52,53,206826000
2024-04-26,53,53,51,52,56657900
2024-04-29,52,52,50,51,24645200
2024-04-30,51,51,50,51,4471600
2024-05-02,51,52,50,51,239110208
2024-05-03,51,52,50,52,195436704
2024-05-06,52,53,50,51,207667696
2024-05-07,51,53,50,52,158625296
2024-05-08,51,52,50,52,34914700
2024-05-13,51,52,51,52,6689400
2024-05-14,52,52,51,52,14937500
2024-05-15,52,53,51,53,48837000
2024-05-16,53,55,52,52,160136000
2024-05-17,52,54,51,52,154596992
2024-05-20,52,53,51,51,36361800
2024-05-21,51,52,51,51,10209900
2024-05-22,51,52,51,52,6175300
2024-05-27,51,52,50,51,44023100
2024-05-28,51,52,50,52,38258700
2024-05-29,51,52,50,52,51605200
2024-05-30,52,52,50,51,65379100
2024-05-31,51,52,50,51,48075300
2024-06-03,51,51,50,51,7305700
2024-06-04,51,51,50,51,10312300
2024-06-05,51,51,50,51,9697700
2024-06-06,51,51,50,51,8464100
2024-06-07,50,51,50,51,10418400
2024-06-10,50,52,50,50,35783900
2024-06-11,50,51,50,51,73471200
2024-06-12,50,51,50,51,63651000
2024-06-13,51,53,50,51,95376496
2024-06-14,51,52,50,52,51121500
2024-06-19,51,52,50,52,54245200
2024-06-20,51,52,50,52,14344200
2024-06-21,51,52,50,52,7260800
2024-06-24,51,54,51,53,108756496
2024-06-25,53,53,51,52,37586700
2024-06-26,51,54,50,50,132239504
2024-06-27,50,51,50,50,5923800
2024-06-28,50,51,50,50,27255800
2024-07-01,50,50,50,50,36933800
2024-07-02,50,50,50,50,2348100
2024-07-03,50,50,50,50,8315300
2024-07-04,50,52,50,51,19082200
2024-07-05,51,52,50,51,1435200
2024-07-08,51,51,50,50,2017800
2024-07-09,50,51,50,51,3743500
2024-07-10,50,51,50,51,62560300
2024-07-11,50,51,50,51,1912500
2024-07-12,50,51,50,51,1753200
2024-07-15,50,51,50,51,2412700
2024-07-16,50,51,50,51,3542100
2024-07-17,51,51,50,51,3719500
2024-07-18,51,51,50,51,751100
2024-07-19,50,51,50,51,524800
2024-07-22,50,51,50,50,701900
2024-07-23,51,51,50,51,4769000
2024-07-24,50,55,50,53,217816304
2024-07-25,53,54,50,51,134749904
2024-07-26,51,51,50,50,78676704
2024-07-29,50,51,50,51,9999000
2024-07-30,51,54,50,53,62930700
2024-07-31,53,54,52,53,56343100
2024-08-01,53,53,51,53,35407700
2024-08-02,52,53,51,52,3545700
2024-08-05,51,52,51,52,4246000
2024-08-06,51,52,50,52,6182600
2024-08-07,52,52,51,52,1343000
2024-08-08,52,69,51,68,192449696
2024-08-09,69,72,62,69,244220192
2024-08-12,69,75,65,72,212641408
2024-08-13,73,78,68,76,293311392
2024-08-14,76,79,71,71,191132896
2024-08-15,72,75,69,72,144854304
2024-08-16,72,75,71,73,131339400
2024-08-19,73,76,72,74,149589904
2024-08-20,75,76,72,73,69143000
2024-08-21,73,74,71,73,41588400
2024-08-22,73,73,69,70,54449300
2024-08-23,70,70,69,70,41216800
2024-08-26,70,73,68,69,76911296
2024-08-27,69,70,67,69,57423600
2024-08-28,68,74,68,71,201755200
2024-08-29,72,93,69,92,560677824
2024-08-30,95,95,60,90,304919008
2024-09-02,90,90,85,87,76660400
2024-09-03,87,95,86,87,265884608
2024-09-04,87,88,79,87,213951808
2024-09-05,87,88,84,87,122689800
2024-09-06,87,88,84,87,64145200
2024-09-09,94,94,85,85,21248300
2024-09-10,85,86,76,76,162394496
2024-09-11,76,78,70,77,190694000
2024-09-12,77,80,75,76,76518600
2024-09-13,76,77,74,74,23604100
2024-09-17,74,77,73,75,106966400
2024-09-18,75,82,73,81,215059008
2024-09-19,85,85,76,78,207431104
2024-09-20,88,88,75,76,12666800
2024-09-23,75,76,72,73,105552000
2024-09-24,73,75,71,72,174691504
2024-09-25,80,80,71,72,29754700
2024-09-26,72,73,71,71,91489504
2024-09-27,71,72,70,70,48660400
2024-09-30,70,70,64,68,162915808
2024-10-01,68,73,67,68,240491296
2024-10-02,68,70,67,68,168113504
2024-10-03,68,70,66,68,319903712
2024-10-04,68,68,65,67,67201104
2024-10-07,66,73,65,69,604083008
2024-10-08,70,71,67,69,245731696
2024-10-09,69,69,67,68,193822896
2024-10-10,68,70,66,67,285897600
2024-10-11,67,68,66,68,220798208
2024-10-14,68,72,66,68,317929984
2024-10-15,68,70,67,68,251553104
2024-10-16,68,76,67,71,719547520
2024-10-17,66,72,66,70,306438112
2024-10-18,70,70,67,69,137638096
2024-10-21,69,82,67,78,852877120
2024-10-22,79,83,75,80,712796096
2024-10-23,81,83,77,78,407582496
2024-10-24,78,79,76,77,166564496
2024-10-25,77,78,75,75,209594208
2024-10-28,75,77,71,75,296856384
2024-10-29,76,77,73,75,75650200
2024-10-30,75,76,73,74,128007400
2024-10-31,74,75,72,73,154722400
2024-11-01,73,75,70,73,290823104
2024-11-04,73,74,70,70,256366208
2024-11-05,70,71,68,69,135030496
2024-11-06,69,72,68,69,257216304
2024-11-07,69,75,67,70,639622208
2024-11-08,70,71,69,69,122082000
2024-11-11,69,70,68,69,276483904
2024-11-12,68,70,68,68,162297408
2024-11-13,68,70,68,69,232528496
2024-11-14,69,70,67,69,189429104
2024-11-15,69,69,67,67,144262208
2024-11-18,67,74,66,70,605497792
2024-11-19,71,72,67,69,369774912
2024-11-20,69,71,68,71,394279392
2024-11-21,71,73,67,69,218308000
2024-11-22,69,69,67,69,197293296
2024-11-25,69,69,67,68,149508896
2024-11-26,67,72,67,68,547050304
2024-11-28,68,69,67,69,185226592
2024-11-29,69,69,67,67,103650200
2024-12-02,67,68,66,66,154261904
2024-12-03,66,66,63,66,305627712
2024-12-04,66,66,64,65,199998304
2024-12-05,65,67,63,66,457797792
2024-12-06,66,66,65,66,141045696
2024-12-09,65,67,65,65,244626400
2024-12-10,66,66,64,65,190015808
2024-12-11,65,66,64,66,294053504
2024-12-12,66,66,64,65,200000992
2024-12-13,65,66,64,65,244295392
2024-12-16,65,66,64,65,288690912
2024-12-17,65,66,64,64,286176896
2024-12-18,64,67,61,65,391685312
2024-12-19,64,65,61,63,213612000
2024-12-20,63,63,60,61,296623392
2024-12-23,61,62,58,58,437650304
2024-12-24,58,58,54,55,344949312
2024-12-27,55,56,54,56,354181792
2024-12-30,55,59,54,58,227667696
2025-01-02,58,75,57,73,723723072
2025-01-03,72,72,62,62,469267488
2025-01-06,63,64,59,62,507301792
2025-01-07,61,65,60,63,459244704
2025-01-08,63,64,61,62,167115008
2025-01-09,62,62,60,62,290093312
2025-01-10,61,64,61,63,352547584
2025-01-13,63,70,62,68,689609920
2025-01-14,68,73,66,70,453223712
2025-01-15,70,93,68,86,517484512
2025-01-16,86,94,75,84,556049408
2025-01-17,85,88,80,82,223816896
2025-01-20,82,86,79,82,390410592
2025-01-21,81,82,75,77,215414496
2025-01-22,77,79,75,76,197282096
2025-01-23,75,93,75,88,441135104
2025-01-24,89,92,79,80,222714592
2025-01-30,80,108,79,108,479971488
2025-01-31,110,134,105,109,675420800
2025-02-03,109,128,105,110,508140288
2025-02-04,112,123,108,110,542211008
2025-02-05,110,111,101,104,171505504
2025-02-06,104,114,104,111,319276096
2025-02-07,111,112,104,110,223087008
2025-02-10,110,114,106,107,222211104
2025-02-11,108,124,107,113,331860416
2025-02-13,118,119,109,110,159222096
2025-02-14,111,112,107,109,57125100
2025-02-17,109,119,108,118,139135904
2025-02-18,118,122,114,117,180575696
2025-02-19,117,122,114,114,209510400
2025-02-20,114,123,112,117,282807008
2025-02-21,117,120,115,116,148667296
2025-02-24,117,156,117,156,618347392
2025-03-05,141,141,141,141,18045700
2025-03-06,139,155,139,155,88796496
2025-03-07,150,150,140,140,34653000
2025-03-10,140,144,135,135,15264100
2025-03-11,122,122,122,122,21177900
2025-03-12,110,110,110,110,12276200
2025-03-13,110,121,110,121,47740000
2025-03-14,113,122,99,99,117678400
2025-03-17,98,104,95,100,170052992
2025-03-18,100,101,75,97,153978896
2025-03-19,99,117,92,114,252038400
2025-03-20,115,120,108,109,178693504
2025-03-21,110,112,102,104,52685200
2025-03-24,104,108,95,101,92165200
2025-03-25,101,104,98,102,77991696
2025-03-26,102,105,100,101,25083500
2025-03-27,101,104,97,98,61053900
2025-04-08,84,96,84,87,111523104
2025-04-09,87,94,85,87,31875900
2025-04-10,92,113,91,106,354595104
2025-04-11,110,127,103,111,466520800
2025-04-14,116,123,114,117,163584000
2025-04-15,119,122,112,113,105698600
2025-04-16,114,118,112,114,100262600
2025-04-17,114,117,111,114,127249200
2025-04-21,115,117,113,113,129863800
2025-04-22,113,117,109,116,186666208
2025-04-23,118,151,115,143,997453184
2025-04-24,146,146,133,138,355282112
2025-04-25,140,171,137,165,862062400
2025-04-28,168,200,168,192,887176192
2025-05-15,173,173,173,173,40565000
2025-05-16,181,181,169,169,90724600
2025-05-19,170,170,158,162,45451200
2025-05-20,165,165,160,160,31847500
2025-05-21,160,165,158,165,46952500
2025-05-22,167,175,167,175,46465300
2025-05-23,184,188,184,188,79441904
2025-05-26,200,206,176,182,368808800
2025-05-27,182,185,176,177,131110800
2025-05-28,178,180,169,169,108005200
2025-06-02,169,179,166,172,242916192
2025-06-03,175,177,168,174,159230592
2025-06-04,175,181,170,171,177513104
2025-06-05,171,173,167,169,62538500
2025-06-10,169,172,168,169,94415696
2025-06-11,170,182,170,176,258154096
2025-06-12,178,181,171,173,158852304
2025-06-13,173,177,168,172,95218000
2025-06-16,172,181,168,174,262455504
2025-06-17,175,176,170,170,59743400
2025-06-18,170,172,168,169,63463800
2025-06-19,169,171,153,162,159941600
2025-06-20,163,166,156,165,181502096
2025-06-23,159,163,155,160,117098400
2025-06-24,162,174,162,170,203419296
2025-06-25,172,175,167,172,204496000
