date,open,high,low,close,volume
2024-01-02,560,570,550,570,25301800
2024-01-03,575,595,555,555,60459400
2024-01-04,555,570,550,560,20720700
2024-01-05,560,580,555,570,39650600
2024-01-08,570,575,540,545,40916100
2024-01-09,550,555,520,535,47038300
2024-01-10,535,550,535,540,11890000
2024-01-11,545,555,535,545,25333600
2024-01-12,550,590,545,575,128515000
2024-01-15,580,640,570,640,208435392
2024-01-16,650,665,630,660,127037400
2024-01-17,660,670,630,655,40829600
2024-01-18,650,680,650,660,67536496
2024-01-19,665,730,655,690,193190896
2024-01-22,690,695,655,690,87727600
2024-01-23,690,690,645,660,56676400
2024-01-24,655,660,605,610,106970600
2024-01-25,610,655,610,625,83389504
2024-01-26,630,690,625,675,149866496
2024-01-29,680,690,655,690,75472304
2024-01-30,690,690,670,670,43431500
2024-01-31,675,680,640,660,87829400
2024-02-01,660,705,640,685,151859392
2024-02-02,685,710,680,700,107589400
2024-02-05,700,705,665,670,45624400
2024-02-06,670,680,645,660,67338496
2024-02-07,665,665,640,650,48757000
2024-02-12,650,660,605,630,94977000
2024-02-13,630,640,615,625,44022700
2024-02-15,660,720,650,670,269037888
2024-02-16,675,680,645,650,55372200
2024-02-19,650,650,615,615,62624400
2024-02-20,620,640,615,630,81762200
2024-02-21,635,650,620,635,43447200
2024-02-22,640,665,640,665,39216200
2024-02-23,680,685,660,660,42336200
2024-02-26,660,660,620,625,40111700
2024-02-27,625,645,620,640,32705100
2024-02-28,645,645,620,625,25252500
2024-02-29,625,635,610,610,32884300
2024-03-01,610,625,580,590,61140200
2024-03-04,590,595,560,565,49915000
2024-03-05,585,585,540,545,56748500
2024-03-06,545,560,530,545,59415700
2024-03-07,550,565,545,565,71776704
2024-03-08,570,575,535,535,114616304
2024-03-13,535,555,535,545,131469600
2024-03-14,550,555,525,530,68570400
2024-03-15,530,535,505,510,104383400
2024-03-18,510,520,482,510,195194800
2024-03-19,510,510,492,492,62819800
2024-03-20,494,500,480,480,83350496
2024-03-21,482,492,476,482,76961400
2024-03-22,482,492,478,488,46232400
2024-03-25,490,494,484,488,47797500
2024-03-26,492,492,480,480,31569000
2024-03-27,480,494,478,490,52213200
2024-03-28,488,500,482,492,55469900
2024-04-01,492,500,482,486,43871000
2024-04-02,492,492,482,484,34882800
2024-04-03,484,496,482,490,53881400
2024-04-04,494,555,492,555,269064800
2024-04-05,555,580,540,580,117156096
2024-04-16,575,595,555,595,88739600
2024-04-17,595,595,535,540,122186096
2024-04-18,545,575,545,565,59214700
2024-04-19,565,580,535,575,72199696
2024-04-22,580,595,570,580,75231696
2024-04-23,585,615,575,580,135812800
2024-04-24,580,585,555,565,45559700
2024-04-25,565,570,540,555,42176700
2024-04-26,565,580,545,550,30624900
2024-04-29,560,565,545,560,20612000
2024-04-30,565,570,545,550,32439400
2024-05-02,550,555,510,525,75561600
2024-05-03,525,530,515,525,50269400
2024-05-06,530,535,515,525,57753200
2024-05-07,530,570,525,555,89871296
2024-05-08,560,580,560,580,89577504
2024-05-13,580,580,560,560,25634900
2024-05-14,560,570,545,550,23258700
2024-05-15,550,560,540,550,19416000
2024-05-16,560,575,550,555,61150600
2024-05-17,565,625,560,605,258407200
2024-05-20,620,650,615,645,191586000
2024-05-21,650,655,620,645,81120496
2024-05-22,645,655,635,650,124001800
2024-05-27,650,650,610,620,47877600
2024-05-28,625,685,620,670,131321296
2024-05-29,680,685,655,675,78508400
2024-05-30,670,675,640,645,43112900
2024-05-31,640,695,635,670,125251400
2024-06-03,680,725,655,725,116126400
2024-06-04,710,725,655,660,150842304
2024-06-05,655,660,580,580,205416608
2024-06-06,585,605,565,570,93207400
2024-06-07,580,605,580,590,95734800
2024-06-10,590,600,555,570,73221696
2024-06-11,565,620,565,605,95816704
2024-06-12,610,620,595,605,42844300
2024-06-13,615,615,590,590,27865100
2024-06-14,590,605,560,565,50296700
2024-06-19,565,585,550,550,32467100
2024-06-20,555,565,540,555,31833500
2024-06-21,560,595,555,580,71953400
2024-06-24,585,600,575,595,30594500
2024-06-25,595,600,580,590,14330700
2024-06-26,590,590,575,590,19496000
2024-06-27,590,630,590,620,74472000
2024-06-28,630,635,620,630,36467600
2024-07-01,630,675,630,650,99028600
2024-07-02,655,660,620,625,43463500
2024-07-03,625,630,610,620,33482000
2024-07-04,625,640,610,610,60351500
2024-07-05,610,640,610,630,70585904
2024-07-08,635,635,605,610,67826000
2024-07-09,610,640,605,625,106199600
2024-07-10,630,640,620,630,49482300
2024-07-11,630,655,630,645,108311904
2024-07-12,645,650,625,635,60553900
2024-07-15,630,640,615,640,55496300
2024-07-16,645,665,640,655,61722700
2024-07-17,660,660,650,655,35338200
2024-07-18,655,660,635,640,68213296
2024-07-19,640,640,615,620,67553104
2024-07-22,620,635,610,615,88771296
2024-07-23,615,635,610,635,115411504
2024-07-24,640,640,620,630,61766000
2024-07-25,630,630,575,595,131763200
2024-07-26,600,605,595,595,27838200
2024-07-29,595,605,585,590,23432400
2024-07-30,590,595,580,580,17824400
2024-07-31,585,600,585,595,30773800
2024-08-01,600,615,595,605,43005600
2024-08-02,600,610,590,590,27380600
2024-08-05,585,585,510,550,150183008
2024-08-06,560,575,550,565,67413600
2024-08-07,575,585,570,575,39358100
2024-08-08,570,575,550,550,44168800
2024-08-09,560,575,555,570,31234700
2024-08-12,575,590,565,580,51026300
2024-08-13,585,590,570,575,22897900
2024-08-14,580,585,565,565,39162400
2024-08-15,565,570,555,555,55371600
2024-08-16,560,575,555,555,45794500
2024-08-19,555,565,535,545,66273800
2024-08-20,555,565,545,565,54321800
2024-08-21,565,570,550,550,45052000
2024-08-22,555,555,535,540,75234400
2024-08-23,545,550,535,540,52703700
2024-08-26,545,555,540,545,53492600
2024-08-27,545,550,530,540,75003600
2024-08-28,550,570,545,560,130758896
2024-08-29,560,560,540,545,86188800
2024-08-30,545,555,540,550,42782800
2024-09-02,545,555,540,545,44899800
2024-09-03,545,550,540,540,44101300
2024-09-04,530,545,525,535,30270400
2024-09-05,535,540,530,540,36581200
2024-09-06,545,545,535,535,29087100
2024-09-09,535,540,520,525,55079700
2024-09-10,530,540,530,530,24714700
2024-09-11,535,535,530,530,24012100
2024-09-12,535,555,530,545,90795504
2024-09-13,545,555,535,540,34784600
2024-09-17,545,550,535,540,46800300
2024-09-18,540,545,525,525,40611000
2024-09-19,530,535,525,530,37379500
2024-09-20,530,540,520,540,91359504
2024-09-23,540,550,540,545,45241000
2024-09-24,545,550,535,540,47942500
2024-09-25,545,565,540,550,158450096
2024-09-26,555,580,540,575,148736000
2024-09-27,580,590,565,585,147200400
2024-09-30,585,590,570,585,65968400
2024-10-01,610,615,585,590,196409904
2024-10-02,595,595,560,575,101538096
2024-10-03,580,585,575,580,54059900
2024-10-04,575,580,560,560,63227300
2024-10-07,565,570,555,565,46549600
2024-10-08,560,565,540,545,75379504
2024-10-09,545,545,530,540,48268900
2024-10-10,540,545,530,530,41063800
2024-10-11,530,545,530,540,42533700
2024-10-14,540,555,535,535,52142300
2024-10-15,540,545,535,535,24990600
2024-10-16,540,540,530,535,24426100
2024-10-17,535,545,525,530,86429504
2024-10-18,535,540,530,540,33227400
2024-10-21,540,555,540,545,50102300
2024-10-22,545,545,530,535,53480400
2024-10-23,540,540,530,530,42653500
2024-10-24,530,535,525,530,26585000
2024-10-25,530,535,525,525,36609000
2024-10-28,530,540,525,530,42358000
2024-10-29,530,535,525,525,26809500
2024-10-30,530,530,520,520,24197300
2024-10-31,525,550,520,550,92438200
2024-11-01,540,560,535,540,115062000
2024-11-04,545,550,530,530,18530200
2024-11-05,530,540,525,525,21236500
2024-11-06,525,545,525,525,32135900
2024-11-07,525,530,498,505,86162600
2024-11-08,510,515,505,515,21807100
2024-11-11,515,515,500,500,47503500
2024-11-12,500,510,492,492,38491100
2024-11-13,500,580,500,540,285606784
2024-11-14,550,570,530,530,105362496
2024-11-15,530,545,515,525,39812800
2024-11-18,515,520,476,500,235473600
2024-11-19,500,515,498,505,37066100
2024-11-20,505,515,500,500,27220600
2024-11-21,500,510,498,510,43087600
2024-11-22,515,555,505,550,173454496
2024-11-25,550,555,520,520,35573500
2024-11-26,525,535,520,525,22329500
2024-11-28,525,530,505,510,38289900
2024-11-29,510,510,500,500,40059400
2024-12-02,500,515,500,505,24064200
2024-12-03,510,525,505,515,24115300
2024-12-04,520,535,515,530,35294100
2024-12-05,530,530,515,520,15070700
2024-12-06,520,525,510,510,14888400
2024-12-09,515,520,510,515,11577300
2024-12-10,515,540,515,535,45427600
2024-12-11,525,540,515,520,36089700
2024-12-12,520,525,510,520,20004900
2024-12-13,520,520,505,505,18864800
2024-12-16,505,505,478,496,151556496
2024-12-17,496,500,484,488,24481200
2024-12-18,490,492,480,480,15192700
2024-12-19,486,490,450,452,56720300
2024-12-20,454,462,448,462,45473100
2024-12-23,462,476,462,468,18454100
2024-12-24,468,470,454,454,15413200
2024-12-27,454,464,452,454,10695900
2024-12-30,452,474,450,458,34897300
2025-01-02,468,468,454,458,27492300
2025-01-03,458,466,454,458,103578704
2025-01-06,458,460,440,442,40950700
2025-01-07,440,450,434,440,24622300
2025-01-08,438,444,412,412,49163300
2025-01-09,410,422,406,412,29987300
2025-01-10,416,426,410,420,30707100
2025-01-13,422,428,414,416,27641100
2025-01-14,418,444,416,440,58234400
2025-01-15,442,448,434,436,28752100
2025-01-16,438,440,420,422,28677100
2025-01-17,422,426,416,418,19348400
2025-01-20,430,436,418,426,45809300
2025-01-21,428,434,422,422,16563000
2025-01-22,420,426,414,416,24380600
2025-01-23,416,426,416,416,27432400
2025-01-24,418,420,408,410,31625100
2025-01-30,410,412,390,390,39052500
2025-01-31,388,398,382,382,35884300
2025-02-03,388,392,370,376,30296100
2025-02-04,384,392,382,386,29109800
2025-02-05,386,390,380,380,17948000
2025-02-06,384,384,366,370,23180400
2025-02-07,376,382,360,376,36498800
2025-02-10,380,382,370,374,19164700
2025-02-11,376,390,368,386,37768700
2025-02-12,386,396,380,390,31216500
2025-02-13,394,408,384,392,64526100
2025-02-14,400,402,384,384,17085400
2025-02-17,384,398,380,384,47228500
2025-02-18,384,398,384,388,40891800
2025-02-19,390,396,372,374,32497800
2025-02-20,374,382,374,378,13866700
2025-02-21,380,390,376,378,27931000
2025-02-24,378,380,370,372,15256700
2025-02-25,376,376,352,354,23861100
2025-02-26,360,366,354,354,21636800
2025-02-27,354,360,336,338,30502500
2025-02-28,340,342,320,328,70079696
2025-03-03,328,350,326,328,87959504
2025-03-04,328,328,296,308,96010496
2025-03-05,306,316,284,286,87841696
2025-03-06,290,324,290,306,335747296
2025-03-07,308,332,304,310,239527200
2025-03-10,314,318,288,296,142274704
2025-03-11,294,294,276,286,99055600
2025-03-12,286,288,270,280,82100096
2025-03-13,280,286,272,276,62052900
2025-03-14,280,302,272,290,149405504
2025-03-17,292,330,292,322,294221696
2025-03-18,326,326,276,310,244696192
2025-03-19,314,314,296,304,100292800
2025-03-20,306,316,290,296,94382896
2025-03-21,304,306,284,284,101971600
2025-03-24,296,296,260,270,118620704
2025-03-25,276,292,268,288,91153696
