date,open,high,low,close,volume
2024-01-02,2700,2720,2630,2690,23431900
2024-01-03,2680,2730,2620,2670,22308700
2024-01-04,2670,2730,2630,2710,28861400
2024-01-05,2710,2880,2700,2810,79652304
2024-01-08,2830,2910,2670,2710,90756896
2024-01-09,2720,2720,2510,2510,87291104
2024-01-10,2510,2560,2430,2470,43054900
2024-01-11,2480,2510,2430,2430,32872200
2024-01-12,2430,2460,2400,2460,25971700
2024-01-15,2480,2490,2420,2430,28012600
2024-01-16,2430,2460,2330,2410,54594500
2024-01-17,2400,2580,2400,2530,96484200
2024-01-18,2540,2710,2540,2670,97309504
2024-01-19,2680,2780,2680,2700,62972300
2024-01-22,2720,2750,2610,2650,31612900
2024-01-23,2650,2720,2570,2630,36898900
2024-01-24,2650,2770,2650,2710,55402900
2024-01-25,2740,2800,2700,2760,44847200
2024-01-26,2760,2770,2690,2700,21735100
2024-01-29,2700,2800,2700,2800,28891200
2024-01-30,2800,2830,2720,2740,32958900
2024-01-31,2740,2760,2700,2700,29670100
2024-02-01,2700,2700,2440,2520,118589904
2024-02-02,2520,2590,2460,2550,46159200
2024-02-05,2550,2560,2470,2480,23780400
2024-02-06,2490,2550,2450,2460,37098400
2024-02-07,2470,2500,2410,2410,35459900
2024-02-12,2430,2460,2370,2440,38548700
2024-02-13,2440,2460,2390,2410,38765000
2024-02-15,2500,2530,2430,2440,70982600
2024-02-16,2450,2460,2400,2400,34195200
2024-02-19,2370,2370,2280,2330,58664300
2024-02-20,2330,2440,2280,2420,69511696
2024-02-21,2420,2430,2350,2360,30941800
2024-02-22,2410,2490,2360,2410,50388800
2024-02-23,2430,2440,2350,2360,28635200
2024-02-26,2380,2380,2300,2300,27513400
2024-02-27,2310,2310,2290,2300,27720500
2024-02-28,2320,2330,2280,2290,26535200
2024-02-29,2290,2300,2250,2260,89232496
2024-03-01,2230,2280,2230,2240,32782200
2024-03-04,2280,2330,2260,2280,35564000
2024-03-05,2330,2340,2240,2250,31066400
2024-03-06,2270,2280,2230,2260,33532200
