date,open,high,low,close,volume
2024-01-02,65,67,64,65,25733100
2024-01-03,65,69,65,68,87768600
2024-01-04,68,70,67,68,42614100
2024-01-05,69,70,66,67,39374500
2024-01-08,67,68,65,65,34471200
2024-01-09,66,66,63,64,42955500
2024-01-10,64,67,62,64,56556800
2024-01-11,64,66,62,62,37062300
2024-01-12,62,64,61,61,32045800
2024-01-15,62,64,61,64,72299104
2024-01-16,64,65,63,64,12188800
2024-01-17,64,64,62,63,13317000
2024-01-18,63,64,61,62,13717400
2024-01-19,63,64,62,63,30160900
2024-01-22,63,66,63,63,34001200
2024-01-23,64,64,61,62,21229600
2024-01-24,63,63,60,61,41004900
2024-01-25,62,64,61,62,126569400
2024-01-26,63,65,60,61,157979696
2024-01-29,61,61,59,59,21928600
2024-01-30,59,62,59,60,45967300
2024-01-31,61,61,59,60,35749900
2024-02-01,60,61,59,59,16438900
2024-02-02,59,60,54,55,67735000
2024-02-05,54,57,54,55,25355300
2024-02-06,55,56,54,54,14193500
2024-02-07,54,55,51,52,31077100
2024-02-12,52,53,50,50,171305504
2024-02-13,51,53,50,52,89983400
2024-02-15,52,54,51,51,46891700
2024-02-16,51,52,51,51,3465700
2024-02-19,51,52,50,50,11255900
2024-02-20,50,53,50,52,46636900
2024-02-21,53,53,51,51,9360400
2024-02-22,52,55,51,53,49778800
2024-02-23,53,59,52,57,56960600
2024-02-26,57,58,54,54,23336000
2024-02-27,55,55,53,54,7741300
2024-02-28,55,58,54,54,51204700
2024-02-29,54,55,52,52,18077700
2024-03-01,53,53,52,52,4508800
2024-03-04,51,54,51,52,17667700
2024-03-05,52,54,52,53,13355100
2024-03-06,53,54,52,52,3193900
2024-03-07,52,53,51,53,8010900
2024-03-08,53,53,52,52,2436900
2024-03-13,52,56,52,56,43353600
2024-03-14,56,59,53,55,62309800
2024-03-15,55,55,53,54,7496000
2024-03-18,54,55,53,53,28787000
2024-03-19,54,54,52,53,18348300
2024-03-20,53,53,51,52,18199200
2024-03-21,52,53,51,52,15634000
2024-03-22,52,53,51,52,32211000
2024-03-25,52,52,50,51,39376100
2024-03-26,51,51,50,50,18204800
2024-03-27,50,51,50,50,43245100
2024-03-28,50,51,50,50,4678800
2024-04-01,50,50,50,50,2947400
2024-04-02,50,50,50,50,580800
2024-04-03,58,58,50,50,818500
2024-04-04,50,50,50,50,1026600
2024-04-05,50,50,50,50,1058400
2024-04-16,50,50,50,50,777400
2024-04-17,50,50,50,50,180000
2024-04-18,50,50,50,50,1373000
2024-04-19,50,50,50,50,227900
2024-04-22,50,50,50,50,251600
2024-04-23,50,50,50,50,93600
2024-04-24,50,50,50,50,580200
2024-04-25,50,50,50,50,190700
2024-04-26,50,50,50,50,351300
2024-04-29,50,50,50,50,134500
2024-04-30,50,50,50,50,53700
2024-05-02,50,50,50,50,716700
2024-05-03,50,50,50,50,1145900
2024-05-06,50,50,50,50,6707300
2024-05-07,50,50,50,50,2671300
2024-05-08,50,50,50,50,12803400
2024-05-13,50,52,50,50,26627600
2024-05-14,50,51,50,50,5533100
2024-05-15,50,50,50,50,930600
2024-05-16,50,50,50,50,142100
2024-05-17,50,50,50,50,58600
2024-05-20,50,50,50,50,232800
2024-05-21,50,50,50,50,135200
2024-05-22,50,50,50,50,2918000
2024-05-27,50,50,50,50,36600
2024-05-28,50,50,50,50,22600
2024-05-29,50,50,50,50,26800
2024-05-30,50,50,50,50,1045000
2024-05-31,50,50,50,50,93100
2024-06-03,50,50,50,50,36400
2024-06-04,50,50,50,50,18800
2024-06-05,50,50,50,50,24000
2024-06-06,50,50,50,50,24500
2024-06-07,50,50,50,50,367200
2024-06-10,50,50,50,50,93900
2024-06-11,50,51,50,50,87095600
2024-06-12,50,50,50,50,268800
2024-06-13,50,50,50,50,17200
2024-06-14,50,50,50,50,1012300
2024-06-19,50,50,50,50,121900
2024-06-20,50,50,50,50,39300
2024-06-21,50,50,50,50,17800
2024-06-24,50,50,50,50,81200
2024-06-25,50,50,50,50,42700
2024-06-26,50,50,50,50,38100
2024-06-27,50,50,50,50,9100
2024-06-28,50,50,50,50,58500
2024-07-01,50,50,50,50,296100
2024-07-02,50,50,50,50,89100
2024-07-03,50,50,50,50,42000
2024-07-04,50,50,50,50,34500
2024-07-05,50,50,50,50,35400
2024-07-08,50,50,50,50,65500
2024-07-09,50,50,50,50,1323400
2024-07-10,50,50,50,50,1574900
2024-07-11,50,50,50,50,2191400
2024-07-12,50,50,50,50,1582700
2024-07-15,50,50,50,50,465100
2024-07-16,50,50,50,50,145500
2024-07-17,50,50,50,50,755000
2024-07-18,50,50,50,50,1713200
2024-07-19,50,50,50,50,25400
2024-07-22,50,50,50,50,128000
2024-07-23,50,50,50,50,527000
2024-07-24,50,50,50,50,100400
2024-07-25,50,50,50,50,334100
2024-07-26,50,50,50,50,3400
2024-07-29,50,50,50,50,141500
2024-07-30,50,50,50,50,471600
2024-07-31,50,50,50,50,112400
2024-08-01,50,50,50,50,1248000
2024-08-02,50,50,50,50,63900
2024-08-05,50,50,50,50,15100
2024-08-06,50,50,50,50,490500
2024-08-07,50,50,50,50,148400
2024-08-08,50,50,50,50,1050000
2024-08-09,50,50,50,50,1527400
2024-08-12,50,50,50,50,143400
2024-08-13,50,50,50,50,1252900
2024-08-14,50,50,50,50,245800
2024-08-15,50,50,50,50,448500
2024-08-16,50,50,50,50,238100
2024-08-19,50,50,50,50,1154400
2024-08-20,50,50,50,50,1644100
2024-08-21,50,62,50,55,828298624
2024-08-22,55,56,51,51,180205904
2024-08-23,51,53,51,52,54730500
2024-08-26,52,53,51,51,46101700
2024-08-27,52,52,50,50,125688304
2024-08-28,50,51,50,50,12743900
2024-08-29,50,51,50,50,56870000
2024-08-30,50,51,50,50,23128200
2024-09-02,50,50,50,50,2894400
2024-09-03,50,51,50,50,7800200
2024-09-04,50,50,50,50,6284300
2024-09-05,50,51,50,50,6631000
2024-09-06,50,50,50,50,3123800
2024-09-09,50,54,50,52,157780400
2024-09-10,53,53,50,51,53680900
2024-09-11,51,53,50,50,34336200
2024-09-12,50,51,50,50,12506100
2024-09-13,50,53,50,51,63466800
2024-09-17,52,52,50,51,7202400
2024-09-18,51,53,50,51,17994600
2024-09-19,52,52,51,52,7306700
2024-09-20,52,57,51,52,247508304
2024-09-23,53,55,52,53,56057600
2024-09-24,53,55,52,53,43808900
2024-09-25,53,53,52,52,9937000
2024-09-26,53,54,52,53,21396600
2024-09-27,54,54,52,53,30711800
2024-09-30,53,54,52,52,21081500
2024-10-01,52,53,51,52,17025500
2024-10-02,52,53,51,51,19806200
2024-10-03,52,52,51,51,8144800
2024-10-04,52,52,50,50,46811000
2024-10-07,50,52,50,51,46297300
2024-10-08,51,52,51,51,11419500
2024-10-09,52,52,50,50,15334400
2024-10-10,51,51,50,50,10506300
2024-10-11,51,52,50,52,22672900
2024-10-14,52,52,51,51,9688800
2024-10-15,51,60,51,57,347724512
2024-10-16,58,58,55,55,88214896
2024-10-17,56,60,55,59,183980400
2024-10-18,60,78,57,77,744711488
2024-10-21,76,84,71,74,375059904
2024-10-22,71,76,69,73,158800992
2024-10-23,74,78,71,75,143718400
2024-10-24,75,94,75,89,652043392
2024-10-25,90,93,79,83,270357792
2024-10-28,81,92,81,86,313255904
2024-10-29,86,94,86,94,353456704
2024-10-30,94,116,94,111,859970496
2024-10-31,112,113,102,111,268465088
2024-11-01,112,112,103,106,165249696
2024-11-04,106,106,78,79,525633696
2024-11-05,78,85,68,70,490012896
2024-11-06,74,79,68,77,268978496
2024-11-07,78,79,72,73,102113400
2024-11-08,74,79,73,78,112156896
2024-11-11,78,85,75,82,188523200
2024-11-12,83,97,82,95,390313216
2024-11-13,96,102,88,91,414943104
2024-11-14,92,97,88,90,205995008
2024-11-15,90,93,77,79,165634896
2024-11-18,79,85,78,82,63856500
2024-11-19,83,87,80,83,72227504
2024-11-20,83,84,79,81,46118300
2024-11-21,81,82,75,76,77721200
2024-11-22,76,78,73,75,53732500
2024-11-25,75,78,71,71,37558500
2024-11-26,72,75,70,73,73707000
2024-11-28,73,74,70,71,26222100
2024-11-29,71,72,61,62,87116704
2024-12-02,63,65,59,60,57143300
2024-12-03,61,67,61,65,48618400
2024-12-04,65,68,62,63,38543600
2024-12-05,64,73,63,71,176994496
2024-12-06,72,73,68,69,57143200
2024-12-09,70,71,68,69,34666800
2024-12-10,69,70,66,67,28198100
2024-12-11,67,74,67,72,74887800
2024-12-12,72,73,69,69,29515700
2024-12-13,69,71,69,70,13321900
2024-12-16,69,70,61,64,67870000
2024-12-17,65,65,62,63,21269700
2024-12-18,63,66,62,63,28087600
2024-12-19,63,63,57,59,46535500
2024-12-20,59,64,59,64,29809200
2024-12-23,65,66,62,64,26278300
2024-12-24,64,66,62,64,19653500
2024-12-27,64,67,64,65,21831200
2024-12-30,65,66,63,65,11203700
2025-01-02,65,70,65,70,30464300
2025-01-03,70,71,68,68,16040700
2025-01-06,69,73,68,71,75871600
2025-01-07,71,71,69,69,26500500
2025-01-08,70,70,66,67,30089800
2025-01-09,67,67,64,65,18718400
2025-01-10,65,67,63,64,20823500
2025-01-13,64,66,59,59,39918600
2025-01-14,60,63,60,62,44361800
2025-01-15,62,73,60,67,182888000
2025-01-16,67,67,64,64,31281000
2025-01-17,65,68,63,63,35339300
2025-01-20,64,66,63,64,36833600
2025-01-21,64,69,64,66,39664600
2025-01-22,67,68,64,64,29821700
2025-01-23,64,65,62,63,16923300
2025-01-24,64,64,60,62,15678900
2025-01-30,62,63,60,61,19223900
2025-01-31,62,65,61,62,30231500
2025-02-03,62,66,60,66,46497900
2025-02-04,67,69,62,63,100154704
2025-02-05,64,66,62,63,73252896
2025-02-06,64,70,63,67,217804192
2025-02-07,67,67,61,62,55991000
2025-02-10,63,64,61,62,18146000
2025-02-11,62,66,61,63,38231000
2025-02-12,64,65,62,64,21524700
2025-02-13,64,64,62,62,12091300
2025-02-14,63,64,62,62,13347300
2025-02-17,63,65,62,64,24875800
2025-02-18,65,67,64,66,41372500
2025-02-19,66,68,64,64,23462100
2025-02-20,65,65,63,63,17094200
2025-02-21,63,64,62,63,16397400
2025-02-24,62,71,61,65,274103904
2025-02-25,66,67,61,61,67160096
2025-02-26,62,65,62,62,44636800
2025-02-27,62,63,57,59,59065900
2025-02-28,59,59,53,55,63481600
2025-03-03,54,58,54,57,26182400
2025-03-04,56,57,51,53,44576000
2025-03-05,53,55,53,55,17070600
2025-03-06,55,57,53,54,32252800
2025-03-07,54,56,54,55,10085700
2025-03-10,56,56,54,55,11473800
2025-03-11,55,55,53,54,14717700
2025-03-12,53,54,52,53,10282800
2025-03-13,53,54,52,52,6025900
2025-03-14,52,54,52,53,15686600
2025-03-17,53,54,52,54,13022000
2025-03-18,54,54,50,51,56284900
2025-03-19,51,53,50,52,12044700
2025-03-20,52,53,51,51,15042900
2025-03-21,51,52,50,50,49242100
2025-03-24,50,50,50,50,1807100
2025-03-25,50,50,50,50,2492200
2025-03-26,50,52,50,51,53890700
2025-03-27,51,52,50,51,33894100
2025-04-08,50,50,50,50,6465500
2025-04-09,50,50,50,50,925900
2025-04-10,50,51,50,50,15142600
2025-04-11,50,51,50,51,15220100
2025-04-14,51,54,50,52,48963700
2025-04-15,53,54,51,52,13478700
2025-04-16,52,54,51,52,27564900
2025-04-17,52,52,51,52,6303900
2025-04-21,52,52,51,52,3940500
2025-04-22,52,52,50,51,37448000
2025-04-23,52,53,51,51,13326900
2025-04-24,52,53,51,52,13342100
2025-04-25,52,55,51,53,31544000
2025-04-28,53,56,53,55,26071700
2025-04-29,55,58,55,56,18685100
2025-04-30,56,58,55,55,14043400
2025-05-02,55,56,52,53,30336000
2025-05-05,53,53,51,51,42949900
2025-05-06,52,53,51,52,39540200
2025-05-07,53,53,51,52,9310600
2025-05-08,52,53,51,51,16030300
