date,open,high,low,close,volume
2024-01-02,1000,1015,1000,1015,7253700
2024-01-03,1015,1020,1000,1010,21446100
2024-01-04,1010,1015,1000,1000,8503400
2024-01-05,1000,1005,980,985,21526900
2024-01-08,985,995,970,975,18288900
2024-01-09,980,980,950,950,19469700
2024-01-10,950,970,950,960,11455400
2024-01-11,960,970,935,945,20861500
2024-01-12,945,960,940,950,8108000
2024-01-15,965,970,940,955,13012400
2024-01-16,965,975,950,965,6777900
2024-01-17,960,975,950,960,20214000
2024-01-18,950,965,945,950,20583900
2024-01-19,950,975,940,955,33736900
2024-01-22,960,970,950,960,16345500
2024-01-23,965,965,940,945,15212200
2024-01-24,945,950,930,935,12050500
2024-01-25,935,945,915,915,36831800
2024-01-26,915,925,895,915,24639700
2024-01-29,915,915,890,890,9561900
2024-01-30,890,895,880,885,6388900
2024-01-31,885,930,880,905,20393200
2024-02-01,905,910,890,900,5534200
2024-02-02,905,910,895,900,3703500
2024-02-05,900,900,885,890,7241500
2024-02-06,890,895,860,860,12082200
2024-02-07,865,870,830,830,17074800
2024-02-12,830,830,775,780,30418500
2024-02-13,780,825,770,805,27427300
2024-02-15,810,830,810,815,11920200
2024-02-16,825,825,775,775,19680300
2024-02-19,775,785,760,760,21078500
2024-02-20,760,805,760,790,23499400
2024-02-21,790,800,780,795,15804800
2024-02-22,795,875,795,875,38089200
2024-02-23,900,935,880,920,112258496
2024-02-26,915,925,850,870,35033400
2024-02-27,860,910,850,895,31701400
2024-02-28,900,910,880,900,16584400
2024-02-29,905,915,865,900,12876300
2024-03-01,910,910,880,885,8771900
2024-03-04,885,890,870,890,6677000
2024-03-05,890,895,860,860,14521400
2024-03-06,860,870,840,855,7427200
2024-03-07,855,875,850,875,6735600
2024-03-08,880,880,860,875,6287900
2024-03-13,875,955,875,940,62597700
2024-03-14,955,965,925,940,45498400
2024-03-15,935,960,930,955,21856300
2024-03-18,965,965,890,905,24687600
2024-03-19,905,905,880,885,12388500
2024-03-20,885,885,860,880,15647600
2024-03-21,880,900,870,900,20223500
2024-03-22,910,920,890,905,22081500
2024-03-25,910,910,880,880,11790800
2024-03-26,880,885,870,870,6720600
2024-03-27,870,895,870,885,11364900
2024-03-28,895,895,870,875,7556700
2024-04-01,875,885,855,885,6747700
2024-04-02,885,890,860,870,15566300
2024-04-03,880,880,865,870,8503500
2024-04-04,875,900,870,900,21725300
2024-04-05,900,905,885,900,8629400
2024-04-16,900,930,870,920,39272300
2024-04-17,920,930,890,920,30765900
