date,open,high,low,close,volume
2024-01-02,530.0,580.0,525.0,567.5,46588000
2024-01-03,570.0,600.0,570.0,580.0,43044000
2024-01-04,580.0,585.0,557.5,567.5,32371000
2024-01-05,567.5,570.0,552.5,555.0,22431000
2024-01-08,557.5,560.0,525.0,530.0,50807000
2024-01-09,530.0,530.0,451.0,451.0,89456000
2024-01-10,452.0,496.0,425.0,488.0,51825000
2024-01-11,490.0,510.0,477.0,481.0,34764000
2024-01-12,481.0,486.0,455.0,458.0,15993000
2024-01-15,460.0,474.0,441.0,443.0,20629000
2024-01-16,443.0,472.0,443.0,466.0,23072000
2024-01-17,466.0,475.0,457.0,470.0,13552000
2024-01-18,472.0,530.0,466.0,525.0,80242000
2024-01-19,530.0,540.0,491.0,495.0,38182000
2024-01-22,500.0,515.0,495.0,512.5,26917000
2024-01-23,512.5,600.0,510.0,575.0,143336992
2024-01-24,575.0,600.0,537.5,545.0,108058000
2024-01-25,545.0,555.0,525.0,525.0,29584000
2024-01-26,525.0,530.0,500.0,505.0,24036000
2024-01-29,505.0,530.0,473.0,477.0,28336000
2024-01-30,477.0,500.0,474.0,478.0,31977000
2024-01-31,479.0,488.0,478.0,481.0,14608000
2024-02-01,481.0,494.0,480.0,485.0,15547000
2024-02-02,486.0,510.0,482.0,505.0,26097000
2024-02-05,510.0,555.0,510.0,520.0,58825000
2024-02-06,525.0,542.5,505.0,537.5,53061000
2024-02-07,540.0,542.5,510.0,517.5,50384000
2024-02-12,517.5,522.5,495.0,498.0,19267000
2024-02-13,494.0,500.0,459.0,460.0,38643000
2024-02-15,470.0,476.0,446.0,452.0,32719000
2024-02-16,456.0,485.0,454.0,472.0,38779000
2024-02-19,472.0,530.0,472.0,499.0,87413000
2024-02-20,500.0,505.0,486.0,489.0,30283000
2024-02-21,491.0,500.0,482.0,485.0,17266000
2024-02-22,485.0,492.0,481.0,487.0,13225000
2024-02-23,487.0,489.0,475.0,477.0,14739000
2024-02-26,477.0,484.0,472.0,476.0,7351000
2024-02-27,476.0,484.0,475.0,475.0,6196000
2024-02-28,476.0,497.0,472.0,480.0,17667000
2024-02-29,480.0,490.0,477.0,482.0,13493000
2024-03-01,482.0,487.0,476.0,478.0,11885000
2024-03-04,477.0,483.0,475.0,478.0,7219000
2024-03-05,480.0,484.0,471.0,471.0,7372000
2024-03-06,470.0,477.0,462.0,469.0,11028000
2024-03-07,469.0,488.0,469.0,479.0,20293000
2024-03-08,481.0,489.0,477.0,479.0,12647000
2024-03-13,479.0,479.0,467.0,470.0,8010000
2024-03-14,470.0,483.0,468.0,470.0,7750000
2024-03-15,470.0,473.0,463.0,463.0,6884000
2024-03-18,463.0,463.0,446.0,446.0,14553000
2024-03-19,448.0,454.0,441.0,443.0,7231000
2024-03-20,443.0,447.0,420.0,428.0,17878000
2024-03-21,428.0,445.0,425.0,441.0,18688000
2024-03-22,441.0,447.0,432.0,433.0,4383000
2024-03-25,433.0,440.0,430.0,434.0,4688000
2024-03-26,435.0,439.0,423.0,426.0,7431000
2024-03-27,426.0,432.0,425.0,428.0,4414000
2024-03-28,428.0,430.0,420.0,421.0,4654000
2024-04-01,421.0,423.0,394.0,407.0,14435000
2024-04-02,410.0,412.0,404.0,409.0,5999000
2024-04-03,409.0,438.0,404.0,435.0,22321000
2024-04-04,437.0,456.0,437.0,439.0,19861000
2024-04-05,439.0,460.0,439.0,448.0,27584000
2024-04-16,449.0,450.0,435.0,441.0,8821000
2024-04-17,442.0,482.0,440.0,470.0,47845000
2024-04-18,470.0,474.0,451.0,454.0,12822000
2024-04-19,454.0,460.0,442.0,447.0,7140000
2024-04-22,450.0,455.0,439.0,439.0,7418000
2024-04-23,440.0,452.0,439.0,442.0,4638000
2024-04-24,442.0,457.0,442.0,447.0,6190000
2024-04-25,450.0,479.0,448.0,479.0,28642000
2024-04-26,479.0,555.0,479.0,527.5,142600992
2024-04-29,527.5,575.0,525.0,570.0,106131000
2024-04-30,570.0,575.0,545.0,557.5,70692000
2024-05-02,555.0,615.0,550.0,610.0,104757000
2024-05-03,612.5,647.5,592.5,627.5,68150000
2024-05-06,627.5,712.5,625.0,695.0,128030000
2024-05-07,712.5,727.5,700.0,722.5,67616000
2024-05-08,727.5,742.5,655.0,685.0,71476000
2024-05-13,685.0,707.5,660.0,697.5,41195000
2024-05-14,710.0,727.5,690.0,710.0,55436000
2024-05-15,710.0,850.0,710.0,850.0,195914000
2024-05-16,852.5,985.0,820.0,897.5,239248992
2024-05-17,907.5,940.0,880.0,890.0,111184000
2024-05-20,890.0,937.5,852.5,872.5,46400000
2024-05-21,885.0,922.5,867.5,897.5,48130000
2024-05-22,900.0,930.0,887.5,895.0,45313000
2024-05-27,897.5,907.5,787.5,795.0,84733000
2024-05-28,802.5,870.0,795.0,830.0,83444000
2024-05-29,830.0,837.5,665.0,685.0,247754000
2024-05-30,692.5,712.5,657.5,675.0,73751000
2024-05-31,677.5,692.5,665.0,675.0,26085000
2024-06-03,675.0,777.5,660.0,765.0,139448000
2024-06-04,770.0,822.5,767.5,810.0,126212000
2024-06-05,800.0,822.5,767.5,772.5,69670000
2024-06-06,780.0,810.0,775.0,787.5,31386000
2024-06-07,792.5,815.0,792.5,797.5,28751000
2024-06-10,805.0,930.0,802.5,930.0,120051000
2024-06-11,935.0,977.5,865.0,875.0,162022000
2024-06-12,877.5,895.0,820.0,835.0,63240000
2024-06-13,845.0,880.0,845.0,865.0,62305000
