date,open,high,low,close,volume
2024-01-02,121,122,117,121,59166300
2024-01-03,121,125,120,125,175529696
2024-01-04,124,127,122,126,170960192
2024-01-05,125,127,122,122,120820400
2024-01-08,122,124,119,122,124512704
2024-01-09,121,123,119,120,108446400
2024-01-10,120,121,117,121,129840704
2024-01-11,120,126,119,125,154355504
2024-01-12,125,125,120,123,152320496
2024-01-15,123,123,120,122,116420600
2024-01-16,122,123,114,118,130088200
2024-01-17,118,119,115,116,140461600
2024-01-18,116,118,115,118,167186000
2024-01-19,118,119,115,117,118980200
2024-01-22,116,117,108,110,111719400
2024-01-23,110,114,108,110,170970000
2024-01-24,110,112,102,112,234632896
2024-01-25,110,114,108,113,89444096
2024-01-26,112,117,105,117,185345408
2024-01-29,116,118,113,117,167734000
2024-01-30,117,120,114,120,159436608
2024-01-31,119,120,117,119,195455904
2024-02-01,118,120,116,119,212169600
2024-02-02,117,119,116,116,158442496
2024-02-05,116,118,111,116,255574704
2024-02-06,116,117,112,115,143712096
2024-02-07,114,116,110,115,43690500
2024-02-12,115,122,115,121,128216400
2024-02-13,121,127,120,127,156986496
2024-02-15,126,137,122,136,210530000
2024-02-16,134,136,130,134,148383200
2024-02-19,134,135,131,132,70411104
2024-02-20,133,143,133,142,136841296
2024-02-21,142,142,137,140,165504992
2024-02-22,141,165,140,165,215140096
2024-02-23,165,167,151,161,122629200
2024-02-26,161,162,157,159,45402100
2024-02-27,157,171,155,165,230597904
2024-02-28,166,167,162,164,125554496
2024-02-29,164,175,162,173,100815400
2024-03-01,173,175,168,169,151849504
2024-03-04,168,171,150,166,171994496
2024-03-05,166,171,159,171,107699504
2024-03-06,171,172,168,170,80023400
2024-03-07,170,178,169,177,88022496
2024-03-08,177,177,170,170,193248304
2024-03-13,169,180,166,177,133566896
2024-03-14,176,182,175,181,85334496
2024-03-15,181,184,174,180,94008704
2024-03-18,180,180,166,166,151737696
2024-03-19,166,171,162,170,122039400
2024-03-20,169,173,164,169,72629696
2024-03-21,168,170,158,158,113279504
2024-03-22,150,159,150,156,159691808
2024-03-25,157,158,150,151,158543600
2024-03-26,153,153,148,152,81892704
2024-03-27,153,157,152,156,151564400
2024-03-28,158,158,151,151,123379696
2024-04-01,151,154,147,149,241698208
2024-04-02,148,150,146,148,125161200
2024-04-03,148,149,140,149,167686304
2024-04-04,149,149,144,144,185969792
2024-04-05,145,146,141,146,198529904
2024-04-16,146,147,142,145,174898096
2024-04-17,145,145,139,143,147810096
2024-04-18,138,151,138,149,176951808
2024-04-19,149,151,142,145,180311392
2024-04-22,145,145,140,141,210743008
2024-04-23,142,145,140,142,190290208
2024-04-24,142,145,141,144,126210400
2024-04-25,143,143,122,129,211035296
2024-04-26,129,132,125,128,197527504
2024-04-29,127,128,123,125,235825504
2024-04-30,117,126,117,125,120939400
2024-05-02,125,138,121,138,197897600
2024-05-03,138,140,135,138,209832000
2024-05-06,138,145,135,144,274195296
2024-05-07,144,145,141,143,116599400
