date,open,high,low,close,volume
2024-01-02,304,326,298,314,89504304
2024-01-03,314,314,302,302,33495600
2024-01-04,304,306,290,302,25300600
2024-01-05,306,312,296,296,31272300
2024-01-08,298,304,292,300,19017700
2024-01-09,300,304,294,302,9337200
2024-01-10,300,312,296,308,36569600
2024-01-11,306,310,302,306,18917100
2024-01-12,306,314,296,304,34556600
2024-01-15,304,306,296,296,16465600
2024-01-16,296,296,272,282,73426800
2024-01-17,282,292,276,280,25008300
2024-01-18,282,284,276,278,10023500
2024-01-19,278,280,274,274,6792400
2024-01-22,274,280,272,272,4826600
2024-01-23,272,276,260,260,10259900
2024-01-24,260,266,254,258,12321900
2024-01-25,258,264,254,262,7087900
2024-01-26,262,264,250,252,8550800
2024-01-29,252,258,248,250,9533600
2024-01-30,252,258,250,252,6119300
2024-01-31,250,266,248,262,12043600
2024-02-01,260,266,254,260,8604300
2024-02-02,260,266,252,264,20962300
2024-02-05,264,272,254,260,29301700
2024-02-06,258,268,254,262,12841800
2024-02-07,260,266,258,266,11222600
2024-02-12,266,272,262,272,24469800
2024-02-13,272,274,268,272,19307100
2024-02-15,278,284,268,272,46797200
2024-02-16,272,274,264,266,10247600
2024-02-19,268,268,252,260,11649900
2024-02-20,260,268,256,258,12599000
2024-02-21,256,260,234,254,15177500
2024-02-22,254,256,248,252,7407500
2024-02-23,256,256,246,248,9690800
2024-02-26,248,248,230,238,39171400
2024-02-27,238,242,236,240,7961200
2024-02-28,236,248,236,244,7823800
2024-02-29,246,258,244,254,26669100
2024-03-01,254,258,248,252,7941900
2024-03-04,252,272,252,272,54002600
2024-03-05,274,288,274,282,66831100
2024-03-06,288,296,278,290,54794200
2024-03-07,292,306,290,294,62789500
2024-03-08,294,310,288,294,43073900
2024-03-13,294,294,274,280,32764800
2024-03-14,264,310,264,298,81613200
2024-03-15,300,300,292,294,26921200
2024-03-18,294,298,290,294,7526300
2024-03-19,294,308,292,302,31076500
2024-03-20,304,312,294,304,26695500
2024-03-21,304,310,300,304,17760400
2024-03-22,304,304,288,292,24542800
2024-03-25,294,298,276,278,25590300
2024-03-26,280,282,274,280,12772400
2024-03-27,280,280,268,270,14992700
2024-03-28,270,272,258,260,16622400
2024-04-01,260,260,246,248,17057500
2024-04-02,248,254,242,254,17486100
2024-04-03,254,262,252,252,18574300
2024-04-04,254,254,248,250,6264300
2024-04-05,250,252,246,250,6049400
2024-04-16,248,258,246,258,24831700
2024-04-17,260,262,244,246,20999000
2024-04-18,248,250,240,240,12876400
2024-04-19,240,244,236,240,10606800
2024-04-22,240,254,240,250,31467300
2024-04-23,254,254,246,246,16316500
2024-04-24,246,254,246,248,6277600
2024-04-25,248,250,240,240,10174300
2024-04-26,242,246,234,236,11644100
2024-04-29,234,242,232,234,8790700
2024-04-30,234,242,234,238,9441800
2024-05-02,238,240,234,236,10539700
2024-05-03,240,252,238,242,46782100
2024-05-06,244,248,240,242,8912500
2024-05-07,244,252,240,240,14048800
2024-05-08,246,258,246,254,44082600
2024-05-13,256,264,248,250,32694100
2024-05-14,250,258,248,256,21884100
2024-05-15,256,272,254,270,46349800
2024-05-16,272,272,260,264,21039700
2024-05-17,264,270,256,262,16945400
2024-05-20,266,276,262,274,25348000
2024-05-21,274,278,264,266,14709900
2024-05-22,266,270,258,258,11918800
2024-05-27,260,264,252,256,14157200
2024-05-28,256,266,256,264,7097300
2024-05-29,266,266,256,260,6064700
2024-05-30,262,262,252,254,9494100
2024-05-31,256,256,250,250,6303500
2024-06-03,250,258,250,250,8461500
2024-06-04,252,256,250,250,5394000
2024-06-05,250,252,244,244,9787800
2024-06-06,244,250,244,246,5155300
2024-06-07,250,250,242,242,4841600
2024-06-10,242,246,236,238,9676100
2024-06-11,238,242,236,236,5845600
2024-06-12,236,240,226,226,15120000
2024-06-13,228,236,224,228,12200100
2024-06-14,228,232,212,218,18675300
2024-06-19,220,220,200,202,17877000
2024-06-20,202,212,200,210,6334400
2024-06-21,210,222,210,220,7273800
2024-06-24,220,228,216,222,6560800
2024-06-25,222,224,216,218,5350000
2024-06-26,218,222,216,218,2722100
2024-06-27,220,220,210,216,3616600
2024-06-28,193,222,193,220,4773800
2024-07-01,220,232,220,228,12411100
2024-07-02,228,232,224,226,4919400
2024-07-03,228,230,222,226,4624900
2024-07-04,226,230,226,228,3304800
2024-07-05,228,236,228,234,8311000
2024-07-08,234,236,230,232,4386500
2024-07-09,232,242,228,236,9053300
2024-07-10,238,244,236,236,7655300
2024-07-11,236,240,236,236,5361300
2024-07-12,238,242,234,240,6275200
2024-07-15,238,242,238,240,4244700
2024-07-16,240,246,240,240,8008300
2024-07-17,240,246,240,244,4553300
2024-07-18,246,254,246,250,12346200
2024-07-19,250,258,250,252,8757200
2024-07-22,254,256,248,254,8077900
2024-07-23,256,256,250,250,4419700
2024-07-24,250,252,244,244,6900800
2024-07-25,244,244,238,238,5404700
2024-07-26,238,256,238,252,11058200
