date,open,high,low,close,volume
2024-01-02,108,112,107,109,26053300
2024-01-03,109,110,106,109,10919600
2024-01-04,109,112,108,111,30986100
2024-01-05,111,113,109,110,13245800
2024-01-08,110,110,107,107,13278200
2024-01-09,108,111,106,107,33852800
2024-01-10,107,108,106,107,10190500
2024-01-11,107,110,106,108,18463500
2024-01-12,110,110,106,106,13217100
2024-01-15,105,108,105,107,17056300
2024-01-16,107,108,106,107,9059600
2024-01-17,107,108,106,107,5723100
2024-01-18,107,107,105,106,9820000
2024-01-19,105,106,103,103,11394000
2024-01-22,103,104,99,101,19910200
2024-01-23,100,103,97,97,20843600
2024-01-24,96,99,94,96,17894300
2024-01-25,94,97,94,96,8520800
2024-01-26,96,97,93,94,9148700
2024-01-29,86,96,86,92,13507000
2024-01-30,92,94,90,93,13745000
2024-01-31,93,93,90,92,16964200
2024-02-01,92,100,90,97,42382800
2024-02-02,98,99,95,96,7160800
2024-02-05,97,97,91,92,12293200
2024-02-06,92,94,91,92,4266300
2024-02-07,91,96,91,92,11707500
2024-02-12,92,97,91,93,15898400
2024-02-13,93,95,92,93,8888200
2024-02-15,97,107,95,99,104612304
2024-02-16,100,101,94,95,28929800
2024-02-19,95,97,94,95,8796600
2024-02-20,95,101,94,96,38313800
2024-02-21,97,98,96,96,9875500
2024-02-22,96,117,95,114,284933312
2024-02-23,117,119,112,116,131427800
2024-02-26,116,126,115,125,162746304
2024-02-27,126,128,122,125,110405400
2024-02-28,125,129,123,126,96417000
2024-02-29,125,128,116,122,109188496
2024-03-01,126,126,116,116,35817800
2024-03-04,116,117,101,106,132908304
2024-03-05,99,110,99,105,30954600
2024-03-06,106,114,101,110,82982400
2024-03-07,111,111,106,109,24722800
2024-03-08,109,110,104,107,16266700
2024-03-13,107,108,102,103,18939600
2024-03-14,95,108,95,105,35819300
2024-03-15,106,106,102,105,12761300
2024-03-18,103,110,102,107,30668900
2024-03-19,107,108,105,108,10614400
2024-03-20,108,108,103,106,26353000
2024-03-21,106,107,104,106,12779500
2024-03-22,106,108,105,106,33511600
2024-03-25,106,108,102,105,12831500
2024-03-26,105,106,103,105,10020700
2024-03-27,105,105,102,104,14036500
2024-03-28,103,104,101,103,12477700
2024-04-01,103,103,95,98,37575700
2024-04-02,98,102,97,101,9158900
2024-04-03,101,102,97,100,13455200
2024-04-04,100,101,98,100,6051900
2024-04-05,98,100,97,99,7922400
2024-04-16,99,99,94,96,19618200
2024-04-17,96,96,93,95,14535100
2024-04-18,95,95,93,95,11271500
2024-04-19,95,95,91,94,25420900
2024-04-22,93,95,92,94,9689100
2024-04-23,95,96,93,95,10697900
2024-04-24,95,99,93,94,35575200
2024-04-25,95,96,93,94,9883700
2024-04-26,94,94,92,94,6517600
2024-04-29,94,94,92,93,4844400
2024-04-30,93,100,92,96,52500300
2024-05-02,97,98,94,98,28893900
2024-05-03,98,99,95,98,11360200
2024-05-06,98,103,97,101,23404400
2024-05-07,101,101,97,99,14562200
2024-05-08,99,100,95,99,11154200
2024-05-13,99,99,95,98,15523300
2024-05-14,98,99,95,99,8271600
2024-05-15,99,99,96,98,13133800
2024-05-16,98,98,96,97,53990900
2024-05-17,96,97,95,97,40973000
2024-05-20,97,98,95,97,30791000
2024-05-21,97,97,95,97,54576700
2024-05-22,97,97,96,97,6696100
2024-05-27,97,97,95,96,18447800
2024-05-28,96,98,94,97,19599500
2024-05-29,97,101,96,98,20858700
2024-05-30,98,98,96,97,12352700
2024-05-31,97,98,95,97,10489100
2024-06-03,97,98,96,97,32392500
2024-06-04,97,97,95,97,37970200
2024-06-05,96,97,94,94,63681900
2024-06-06,94,95,92,93,28412100
2024-06-07,93,94,92,94,4828400
2024-06-10,94,95,90,92,23048400
2024-06-11,92,93,89,91,13919100
2024-06-12,90,92,79,86,66038800
2024-06-13,86,86,82,86,78046800
2024-06-14,86,86,81,84,52459300
2024-06-19,84,84,78,81,109799200
2024-06-20,72,83,72,83,15055200
2024-06-21,82,84,79,83,18367800
2024-06-24,83,84,81,83,7125800
2024-06-25,83,84,82,83,33067400
2024-06-26,83,83,81,82,5517700
2024-06-27,82,83,81,83,1882300
2024-06-28,83,87,81,86,123448400
2024-07-01,86,86,82,84,52095900
2024-07-02,84,84,83,84,79427904
2024-07-03,84,84,82,84,3805300
2024-07-04,84,87,83,85,10022300
2024-07-05,84,91,84,90,28560600
2024-07-08,91,91,88,89,11150200
2024-07-09,89,93,89,91,16713500
2024-07-10,91,91,87,88,38925600
2024-07-11,89,89,86,86,121270800
2024-07-12,86,88,85,85,24586400
2024-07-15,86,88,85,86,113663400
2024-07-16,86,87,83,85,22760700
2024-07-17,85,88,83,88,21034500
2024-07-18,87,89,84,89,24978300
2024-07-19,89,90,86,90,17846800
2024-07-22,90,91,88,90,19410600
2024-07-23,90,91,87,88,40669500
2024-07-24,88,89,86,88,7197400
2024-07-25,88,88,85,88,120821200
2024-07-26,88,89,87,88,129991904
2024-07-29,87,88,86,87,47321500
2024-07-30,88,88,86,88,8250200
2024-07-31,88,88,85,87,15852900
2024-08-01,87,88,86,88,16577600
2024-08-02,88,88,87,88,6114400
2024-08-05,88,89,80,86,22819700
2024-08-06,86,86,83,85,43732600
2024-08-07,85,86,84,86,129442800
2024-08-08,86,86,84,84,158357408
2024-08-09,85,85,83,83,8981800
2024-08-12,84,85,83,85,55032000
2024-08-13,85,85,83,85,55611800
2024-08-14,85,85,83,83,11130400
2024-08-15,84,84,83,83,42983400
2024-08-16,83,84,81,81,82398304
2024-08-19,81,83,77,79,80567200
2024-08-20,78,85,78,80,156752400
2024-08-21,81,82,80,81,195323104
2024-08-22,80,82,80,80,30412600
2024-08-23,81,82,80,81,58780300
2024-08-26,81,83,80,83,22186200
2024-08-27,83,83,81,81,9030700
